number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,5,4,1,0,0,0,112,23,1,0,0,0,33,88,6,0,0,0,2,22,15,0,0,0,0,1,2,0
50,10,10,0.5,0.5,0,0,0,0,2,0,0,0,1,8,1,0,0,0,0,108,27,1,0,0,0,32,85,10,0,0,0,1,20,18,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,99,37,0,0,0,0,28,96,3,0,0,0,2,16,21,0,0,0,0,1,2,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,9,1,0,0,0,0,99,36,1,0,0,1,37,82,7,0,0,0,1,27,11,0,0,0,0,1,2,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,11,2,0,0,0,0,107,30,0,0,0,0,31,90,9,0,0,0,4,20,19,0,0,0,0,2,4,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,4,6,0,0,0,0,111,24,1,0,0,0,31,92,4,0,0,0,2,23,14,0,0,0,0,1,2,0
50,10,10,0.5,0.5,0,0,0,0,2,0,0,0,0,5,5,0,0,0,2,111,23,0,0,0,0,28,87,12,0,0,0,0,20,18,1,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,99,37,0,0,0,0,30,94,3,0,0,0,2,16,21,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,1,1,0,0,0,0,9,1,0,0,0,0,101,34,1,0,0,0,38,80,9,0,0,0,1,28,10,0,0,0,0,1,2,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,10,3,0,0,0,0,112,25,0,0,0,0,28,91,11,0,0,0,4,19,20,0,0,0,0,3,3,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,4,5,1,0,0,0,113,22,1,0,0,0,30,89,8,0,0,0,2,21,16,0,0,0,0,1,2,0
50,10,10,0.5,0.5,0,0,0,0,2,0,0,0,1,8,1,0,0,0,2,110,24,0,0,0,0,29,91,7,0,0,0,1,24,14,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,6,4,0,0,0,0,102,33,1,0,0,0,32,92,3,0,0,0,1,18,20,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,1,1,0,0,0,0,9,1,0,0,0,0,94,41,1,0,0,0,42,77,8,0,0,0,1,28,10,0,0,0,0,1,2,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,11,2,0,0,0,0,109,28,0,0,0,0,27,91,12,0,0,0,5,17,21,0,0,0,0,4,2,0
50,10,10,0.5,0.5,1,0,0,2,0,0,0,0,0,4,6,0,0,0,0,110,25,1,0,0,0,33,91,3,0,0,0,3,18,18,0,0,0,0,2,1,0
50,10,10,0.5,0.5,1,0,0,0,2,0,0,0,0,6,4,0,0,0,1,110,24,1,0,0,0,33,81,13,0,0,0,0,24,15,0,0,0,0,2,1,0
50,10,10,0.5,0.5,1,0,0,2,0,0,0,0,0,4,6,0,0,0,0,102,34,0,0,0,0,34,91,2,0,0,0,0,18,21,0,0,0,0,1,2,0
50,10,10,0.5,0.5,1,0,0,2,0,0,0,0,0,9,1,0,0,0,0,100,36,0,0,0,0,35,82,9,1,0,0,2,25,12,0,0,0,0,1,2,0
50,10,10,0.5,0.5,1,0,0,2,0,0,0,0,0,11,2,0,0,0,0,111,26,0,0,0,0,30,90,10,0,0,0,4,19,20,0,0,0,0,3,3,0
