number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,3,5,2,0,3,4,94,30,5,0,1,1,42,68,15,0,0,0,5,18,16,0,0,0,0,2,1,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,1,2,7,0,0,0,3,82,51,0,0,0,3,34,76,13,1,0,1,1,24,13,0,0,0,0,2,1,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,2,89,41,4,0,0,2,33,84,8,0,0,0,1,23,15,0,0,0,0,2,1,0
1,10,10,0.5,0.5,3,0,2,0,0,0,0,0,3,3,4,0,0,1,2,90,37,6,0,2,4,40,65,15,1,0,0,7,19,11,2,0,0,0,1,2,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,9,4,0,0,0,5,90,40,2,0,0,2,38,77,12,1,0,2,7,17,17,0,0,0,1,2,2,1
1,10,10,0.5,0.5,3,0,0,1,1,0,0,1,0,4,3,2,0,1,8,80,46,1,0,0,7,45,58,16,1,0,3,2,20,13,1,0,0,0,2,1,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,4,5,0,0,0,1,97,32,6,0,0,0,41,64,21,1,0,0,4,14,21,0,0,0,0,2,1,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,1,3,95,33,4,0,0,1,48,63,15,0,1,1,3,16,18,0,0,0,1,0,2,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,7,2,1,0,0,3,87,40,6,0,0,1,50,57,17,2,2,0,7,7,22,1,0,0,1,0,2,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,9,3,0,0,2,8,84,40,2,1,0,2,32,77,18,1,0,0,7,18,18,0,0,0,1,2,3,0
1,10,10,0.5,0.5,3,0,0,0,2,0,0,0,1,4,5,0,0,1,2,95,35,3,0,0,3,31,81,11,1,0,1,4,21,13,0,0,0,0,1,2,0
1,10,10,0.5,0.5,3,0,0,0,2,0,0,0,1,6,2,1,0,0,5,96,32,3,0,0,1,46,59,21,0,0,0,6,20,13,0,0,0,0,2,1,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,1,3,4,2,0,0,1,0,93,38,3,1,0,1,42,76,8,0,1,0,7,16,14,1,0,0,1,1,1,0
1,10,10,0.5,0.5,3,0,0,1,1,0,0,0,1,5,4,0,0,0,9,76,48,3,0,0,3,35,72,17,0,0,2,8,10,18,1,0,0,0,1,2,0
1,10,10,0.5,0.5,3,0,0,2,0,0,0,0,2,7,4,0,0,1,2,86,47,1,0,0,9,17,85,19,0,0,0,5,18,20,0,0,0,2,2,1,1
3,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,4,4,2,0,0,0,101,33,1,1,0,0,36,83,8,0,0,0,4,17,18,0,0,0,0,1,2,0
3,10,10,0.5,0.5,3,0,0,0,2,0,0,0,0,5,5,0,0,0,4,98,32,2,0,0,0,36,80,10,1,0,1,3,23,12,0,0,0,0,2,1,0
3,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,1,1,99,32,3,0,0,1,43,75,8,0,0,0,4,18,16,1,0,0,0,3,0,0
3,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,8,2,0,0,0,2,96,35,2,1,0,0,38,75,13,1,0,0,3,28,8,0,0,0,0,1,2,0
3,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,9,3,0,0,0,2,90,43,2,0,0,1,27,89,13,0,0,0,5,24,13,1,0,0,1,3,2,0
3,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,3,6,1,0,0,2,102,32,0,0,0,1,35,78,13,0,0,0,5,20,14,0,0,0,0,3,0,0
3,10,10,0.5,0.5,3,0,0,0,2,0,0,0,0,5,5,0,0,1,0,105,28,2,0,1,0,41,71,13,1,0,0,4,14,21,0,0,0,0,2,1,0
3,10,10,0.5,0.5,3,0,1,1,0,0,0,0,0,6,4,0,0,0,1,100,32,3,0,0,1,42,70,14,0,0,0,4,14,21,0,0,0,0,1,2,0
3,10,10,0.5,0.5,3,0,0,2,0,0,0,1,1,6,2,0,0,0,2,90,41,3,0,0,2,42,74,9,0,0,0,7,17,15,0,0,0,0,2,1,0
3,10,10,0.5,0.5,3,0,0,1,1,0,0,0,1,11,1,0,0,0,1,98,34,4,0,0,2,30,89,9,0,0,1,7,18,15,2,0,0,0,2,4,0
3,10,10,0.5,0.5,3,0,0,1,0,0,1,0,0,5,4,1,0,0,1,107,25,2,1,0,0,39,78,8,2,0,0,7,21,10,1,0,0,0,2,1,0
3,10,10,0.5,0.5,3,0,0,1,1,0,0,1,1,6,2,0,0,2,1,97,34,1,1,0,0,28,84,15,0,0,0,1,19,19,0,0,0,0,1,1,1
3,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,2,6,1,0,1,1,98,35,1,0,0,0,43,80,4,0,0,1,2,21,15,0,0,0,0,1,2,0
3,10,10,0.5,0.5,3,1,0,0,1,0,0,0,0,8,1,1,0,0,1,88,44,3,0,0,0,28,90,8,1,0,0,4,23,12,0,0,0,0,2,1,0
3,10,10,0.5,0.5,3,0,0,2,0,0,0,0,2,9,2,0,0,0,2,106,29,0,0,0,0,30,85,15,0,0,0,7,19,17,0,0,0,1,2,3,0
5,10,10,0.5,0.5,3,0,0,1,1,0,0,0,1,5,2,2,0,0,0,103,31,2,0,0,0,35,81,11,0,0,0,4,20,15,0,0,0,0,1,2,0
5,10,10,0.5,0.5,3,0,0,0,2,0,0,0,1,5,3,1,0,0,1,111,24,0,0,0,0,27,87,13,0,0,0,2,19,18,0,0,0,0,2,1,0
5,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,2,97,36,1,0,0,0,32,90,5,0,0,0,4,19,16,0,0,0,0,1,2,0
5,10,10,0.5,0.5,3,0,0,0,2,0,0,0,0,7,3,0,0,0,1,94,38,3,0,0,0,39,76,12,0,0,0,4,18,17,0,0,0,0,1,2,0
5,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,13,0,0,0,0,0,112,25,0,0,0,0,39,75,16,0,0,0,5,14,24,0,0,0,0,1,5,0
5,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,4,1,0,1,1,103,29,2,0,0,0,36,82,9,0,0,0,4,19,16,0,0,0,0,1,2,0
5,10,10,0.5,0.5,3,0,0,1,1,0,0,1,0,7,2,0,0,2,0,111,21,2,0,0,0,36,77,14,0,0,0,1,22,16,0,0,0,0,2,1,0
5,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,1,100,34,1,0,0,0,27,94,6,0,0,0,2,16,21,0,0,0,0,1,2,0
5,10,10,0.5,0.5,3,0,1,0,1,0,0,0,0,5,5,0,0,0,0,97,37,2,0,0,2,40,75,9,1,0,0,3,23,13,0,0,0,0,1,2,0
5,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,1,104,32,0,0,0,0,40,78,12,0,0,0,5,17,21,0,0,0,0,4,2,0
5,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,6,2,1,0,0,1,103,31,1,0,0,0,35,84,7,1,0,0,5,20,14,0,0,0,0,1,2,0
5,10,10,0.5,0.5,3,0,0,0,2,0,0,0,1,4,5,0,0,0,2,107,24,3,0,0,0,33,80,12,2,0,0,3,20,16,0,0,0,0,1,2,0
5,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,1,100,33,2,0,0,1,31,87,8,0,0,1,2,18,18,0,0,0,0,0,3,0
5,10,10,0.5,0.5,3,0,1,0,1,0,0,0,2,5,3,0,0,0,1,97,38,0,0,0,1,41,74,11,0,0,1,7,19,12,0,0,0,0,2,1,0
5,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,97,38,2,0,0,0,33,84,13,0,0,0,6,19,18,0,0,0,0,4,2,0
10,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,5,3,2,0,0,0,113,23,0,0,0,0,43,75,9,0,0,0,4,24,11,0,0,0,0,2,1,0
10,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,1,1,106,27,1,0,0,0,32,83,12,0,0,0,0,19,20,0,0,0,0,1,2,0
10,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,99,36,1,0,0,0,32,87,8,0,0,0,1,21,17,0,0,0,0,0,3,0
10,10,10,0.5,0.5,3,0,0,1,1,0,0,1,0,6,3,0,0,0,0,99,35,2,0,0,1,45,68,13,0,0,0,2,23,14,0,0,0,0,1,2,0
10,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,112,24,1,0,0,0,34,84,12,0,0,0,4,22,17,0,0,0,0,4,2,0
10,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,104,30,2,0,0,0,37,86,4,0,0,0,4,25,10,0,0,0,0,2,1,0
10,10,10,0.5,0.5,3,0,0,1,1,0,0,1,0,8,1,0,0,2,0,104,29,1,0,0,0,30,84,13,0,0,0,2,26,11,0,0,0,0,2,1,0
10,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,5,1,0,0,1,101,33,1,0,0,0,30,90,7,0,0,0,3,16,20,0,0,0,0,2,1,0
10,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,6,3,0,0,0,1,102,29,4,0,0,1,39,79,7,1,0,0,8,17,14,0,0,0,0,3,0,0
10,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,108,29,0,0,0,0,34,83,13,0,0,0,4,19,20,0,0,0,0,3,3,0
10,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,4,5,1,0,0,0,107,28,1,0,0,0,35,86,6,0,0,0,2,23,14,0,0,0,0,1,2,0
10,10,10,0.5,0.5,3,0,0,0,2,0,0,0,1,6,3,0,0,0,3,107,25,1,0,0,0,31,83,13,0,0,0,4,20,15,0,0,0,0,2,1,0
10,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,96,39,1,0,0,0,32,90,5,0,0,0,2,15,22,0,0,0,0,1,2,0
10,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,8,2,0,0,0,1,91,42,2,0,0,0,35,79,13,0,0,1,3,23,12,0,0,0,0,2,1,0
10,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,107,30,0,0,0,0,28,90,12,0,0,0,4,19,20,0,0,0,0,4,2,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,3,2,0,0,0,112,24,0,0,0,0,35,87,5,0,0,0,3,22,14,0,0,0,0,2,1,0
15,10,10,0.5,0.5,3,0,0,1,1,0,0,0,1,7,2,0,0,2,0,114,19,1,0,0,0,26,90,11,0,0,0,2,18,19,0,0,0,0,2,1,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,100,34,2,0,0,0,28,95,4,0,0,0,0,19,20,0,0,0,0,3,0,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,1,7,2,0,0,0,1,100,32,3,0,0,0,37,85,5,0,0,0,6,22,11,0,0,0,0,1,2,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,108,28,1,0,0,1,32,83,14,0,0,0,5,21,17,0,0,0,0,3,3,0
15,10,10,0.5,0.5,3,0,1,1,0,0,0,0,0,4,5,1,0,0,0,110,25,1,0,0,0,28,89,10,0,0,0,1,22,16,0,0,0,0,2,1,0
15,10,10,0.5,0.5,3,0,0,0,2,0,0,0,0,7,3,0,0,0,2,106,27,1,0,0,0,32,85,9,1,0,0,3,19,16,1,0,0,0,2,1,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,98,37,1,0,0,0,26,95,6,0,0,0,0,18,21,0,0,0,0,1,2,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,1,0,0,0,1,91,41,3,0,0,1,32,83,11,0,0,0,5,22,12,0,0,0,0,1,2,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,11,2,0,0,0,0,108,29,0,0,0,0,28,92,10,0,0,0,3,21,19,0,0,0,0,5,1,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,114,21,1,0,0,0,31,93,3,0,0,0,3,23,13,0,0,0,0,1,2,0
15,10,10,0.5,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,2,2,102,29,1,0,0,0,30,82,15,0,0,0,1,21,17,0,0,0,0,2,1,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,101,35,0,0,0,0,34,88,5,0,0,0,1,19,19,0,0,0,0,1,2,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,97,38,1,0,0,0,40,80,7,0,0,0,3,20,16,0,0,0,0,1,2,0
15,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,11,2,0,0,0,0,110,27,0,0,0,0,31,89,10,0,0,0,3,16,24,0,0,0,0,3,3,0
25,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,4,1,0,0,0,106,30,0,0,0,0,30,90,7,0,0,0,3,20,16,0,0,0,0,3,0,0
25,10,10,0.5,0.5,3,0,0,0,2,0,0,0,1,6,3,0,0,2,2,107,24,1,0,0,0,27,87,13,0,0,0,1,23,15,0,0,0,0,2,1,0
25,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,96,40,0,0,0,0,32,92,3,0,0,0,1,18,20,0,0,0,0,1,2,0
