number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,5,4,1,0,0,0,113,22,1,0,0,0,34,89,4,0,0,0,3,23,13,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,0,2,0,0,0,0,6,4,0,0,0,2,107,26,1,0,0,0,31,85,11,0,0,0,2,19,18,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,102,34,0,0,0,0,26,98,3,0,0,0,1,15,23,0,0,0,0,1,2,0
50,10,10,0.0,0.5,3,0,0,1,1,0,0,0,0,7,3,0,0,0,0,99,35,2,0,0,0,36,84,7,0,0,0,2,26,11,0,0,0,0,1,2,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,107,30,0,0,0,0,29,90,11,0,0,0,4,20,19,0,0,0,0,3,3,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,4,5,1,0,0,0,112,23,1,0,0,0,34,88,5,0,0,0,3,22,14,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,0,2,0,0,0,1,6,3,0,0,2,0,110,24,0,0,0,0,29,90,8,0,0,0,1,24,14,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,105,31,0,0,0,0,31,92,4,0,0,0,1,18,20,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,1,1,0,0,0,0,9,1,0,0,0,0,99,35,2,0,0,0,36,81,10,0,0,0,3,22,14,0,0,0,0,1,2,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,12,1,0,0,0,0,110,27,0,0,0,0,31,89,10,0,0,0,3,17,23,0,0,0,0,3,3,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,5,4,1,0,0,0,113,22,1,0,0,0,30,95,2,0,0,0,3,22,14,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,0,2,0,0,0,0,7,3,0,0,0,2,108,25,1,0,0,0,30,85,12,0,0,0,0,22,17,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,103,33,0,0,0,0,28,95,4,0,0,0,1,19,19,0,0,0,0,2,1,0
50,10,10,0.0,0.5,3,0,0,1,1,0,0,0,0,9,1,0,0,0,0,101,34,1,0,0,0,39,82,6,0,0,0,1,28,10,0,0,0,0,1,2,0
50,10,10,0.0,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,108,29,0,0,0,0,27,94,9,0,0,0,4,17,22,0,0,0,0,1,5,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,115,20,1,0,0,0,33,90,4,0,0,0,2,23,14,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,0,2,0,0,0,1,8,1,0,0,0,2,109,24,1,0,0,0,29,87,11,0,0,0,0,22,17,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,100,36,0,0,0,0,26,96,5,0,0,0,1,20,18,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,9,1,0,0,0,0,96,39,1,0,0,0,37,83,7,0,0,0,1,28,10,0,0,0,0,1,2,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,108,29,0,0,0,0,30,90,10,0,0,0,3,21,19,0,0,0,0,2,4,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,4,5,1,0,0,0,109,26,1,0,0,0,36,88,3,0,0,0,2,23,14,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,0,2,0,0,0,0,6,4,0,0,0,2,109,25,0,0,0,0,29,88,10,0,0,0,1,21,17,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,96,40,0,0,0,0,31,93,3,0,0,0,1,17,21,0,0,0,0,1,2,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,96,38,2,0,0,0,37,83,7,0,0,0,1,23,15,0,0,0,0,1,2,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,110,27,0,0,0,0,23,96,11,0,0,0,3,21,19,0,0,0,0,3,3,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,4,6,0,0,0,0,112,23,1,0,0,0,35,86,6,0,0,0,2,24,13,0,0,0,0,1,2,0
50,10,10,0.25,0.5,3,0,0,0,2,0,0,0,1,5,4,0,0,0,2,107,26,1,0,0,0,30,87,10,0,0,0,1,22,16,0,0,0,0,2,1,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,97,39,0,0,0,0,29,95,3,0,0,0,2,16,21,0,0,0,0,1,2,0
50,10,10,0.25,0.5,3,0,0,1,1,0,0,0,0,9,1,0,0,0,0,96,40,0,0,0,0,33,87,7,0,0,0,1,28,10,0,0,0,0,1,2,0
50,10,10,0.25,0.5,3,0,0,2,0,0,0,0,0,11,2,0,0,0,0,112,25,0,0,0,0,23,96,11,0,0,0,5,19,19,0,0,0,0,3,3,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,4,1,0,0,0,113,22,1,0,0,0,34,89,4,0,0,0,3,22,14,0,0,0,0,1,2,0
50,10,10,0.5,0.5,3,0,0,0,2,0,0,0,0,9,1,0,0,0,0,113,22,1,0,0,0,32,84,11,0,0,0,1,18,20,0,0,0,0,2,1,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,103,33,0,0,0,0,31,93,3,0,0,0,0,18,21,0,0,0,0,1,2,0
50,10,10,0.5,0.5,3,0,0,2,0,0,0,0,0,9,1,0,0,0,0,100,33,3,0,0,0,43,77,7,0,0,0,2,27,10,0,0,0,0,1,2,0
