number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,10,5,0.5,0.5,3,494,6,24,476
50,10,5,0.5,0.5,3,495,5,26,474
50,10,5,0.5,0.5,3,495,5,27,473
50,10,5,0.5,0.5,3,494,6,13,487
50,10,5,0.5,0.5,3,495,5,14,486
50,10,5,0.5,0.5,3,496,4,12,488
50,10,5,0.5,0.5,3,495,5,10,490
50,10,5,0.5,0.5,3,491,9,12,488
50,10,5,0.5,0.5,3,489,11,10,490
50,10,5,0.5,0.5,3,482,18,15,485
50,10,5,0.5,0.5,3,485,15,21,479
50,10,5,0.5,0.5,3,492,8,23,477
50,10,5,0.5,0.5,3,488,13,16,484
50,10,5,0.5,0.5,3,495,6,18,482
50,10,5,0.5,0.5,3,487,14,14,486
50,10,10,0.5,0.5,3,489,11,23,477
50,10,10,0.5,0.5,3,496,4,25,475
50,10,10,0.5,0.5,3,485,15,17,483
50,10,10,0.5,0.5,3,495,5,16,484
50,10,10,0.5,0.5,3,495,5,16,484
50,10,10,0.5,0.5,3,498,2,18,482
50,10,10,0.5,0.5,3,494,6,11,489
50,10,10,0.5,0.5,3,485,15,11,489
50,10,10,0.5,0.5,3,489,11,13,487
50,10,10,0.5,0.5,3,491,9,20,480
50,10,10,0.5,0.5,3,484,16,23,477
50,10,10,0.5,0.5,3,482,18,21,479
50,10,10,0.5,0.5,3,486,15,18,482
50,10,10,0.5,0.5,3,490,11,15,485
50,10,10,0.5,0.5,3,482,19,14,486
50,10,15,0.5,0.5,3,492,8,25,475
50,10,15,0.5,0.5,3,485,15,26,474
50,10,15,0.5,0.5,3,487,13,24,476
50,10,15,0.5,0.5,3,497,3,14,486
50,10,15,0.5,0.5,3,496,4,14,486
50,10,15,0.5,0.5,3,491,9,15,485
50,10,15,0.5,0.5,3,492,8,13,487
50,10,15,0.5,0.5,3,490,10,15,485
50,10,15,0.5,0.5,3,489,11,8,492
50,10,15,0.5,0.5,3,485,15,21,479
50,10,15,0.5,0.5,3,490,10,24,476
50,10,15,0.5,0.5,3,478,22,16,484
50,10,15,0.5,0.5,3,489,12,15,485
50,10,15,0.5,0.5,3,494,7,19,481
50,10,15,0.5,0.5,3,495,6,17,483
50,10,25,0.5,0.5,3,487,13,25,475
50,10,25,0.5,0.5,3,493,7,23,477
50,10,25,0.5,0.5,3,486,14,16,484
50,10,25,0.5,0.5,3,496,4,14,486
50,10,25,0.5,0.5,3,493,7,14,486
50,10,25,0.5,0.5,3,494,6,14,486
50,10,25,0.5,0.5,3,487,13,10,490
50,10,25,0.5,0.5,3,490,10,12,488
50,10,25,0.5,0.5,3,491,9,11,489
50,10,25,0.5,0.5,3,481,19,25,475
50,10,25,0.5,0.5,3,487,13,21,479
50,10,25,0.5,0.5,3,485,15,20,480
50,10,25,0.5,0.5,3,485,16,15,485
50,10,25,0.5,0.5,3,487,14,18,482
50,10,25,0.5,0.5,3,491,10,19,481
50,10,50,0.5,0.5,3,494,6,26,474
50,10,50,0.5,0.5,3,495,5,27,473
50,10,50,0.5,0.5,3,482,18,21,479
50,10,50,0.5,0.5,3,498,2,16,484
50,10,50,0.5,0.5,3,498,2,15,485
50,10,50,0.5,0.5,3,495,5,14,486
50,10,50,0.5,0.5,3,487,13,10,490
50,10,50,0.5,0.5,3,495,5,11,489
50,10,50,0.5,0.5,3,483,17,9,491
50,10,50,0.5,0.5,3,492,8,22,478
50,10,50,0.5,0.5,3,476,24,15,485
50,10,50,0.5,0.5,3,486,14,21,479
50,10,50,0.5,0.5,3,498,3,19,481
50,10,50,0.5,0.5,3,485,16,16,484
50,10,50,0.5,0.5,3,493,8,17,483
