number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50,10,10,0.5,0.5,0,492,8,20,480
50,10,10,0.5,0.5,0,494,6,19,481
50,10,10,0.5,0.5,0,492,8,24,476
50,10,10,0.5,0.5,0,494,6,17,483
50,10,10,0.5,0.5,0,491,9,10,490
50,10,10,0.5,0.5,0,494,6,18,482
50,10,10,0.5,0.5,0,492,8,12,488
50,10,10,0.5,0.5,0,489,11,10,490
50,10,10,0.5,0.5,0,493,7,12,488
50,10,10,0.5,0.5,0,486,14,20,480
50,10,10,0.5,0.5,0,485,15,19,481
50,10,10,0.5,0.5,0,483,17,18,482
50,10,10,0.5,0.5,0,489,12,14,486
50,10,10,0.5,0.5,0,495,6,19,481
50,10,10,0.5,0.5,0,484,17,13,487
50,10,10,0.5,0.5,1,491,9,25,475
50,10,10,0.5,0.5,1,492,8,27,473
50,10,10,0.5,0.5,1,490,10,24,476
50,10,10,0.5,0.5,1,493,7,14,486
50,10,10,0.5,0.5,1,494,6,11,489
50,10,10,0.5,0.5,1,496,4,16,484
50,10,10,0.5,0.5,1,491,9,13,487
50,10,10,0.5,0.5,1,489,11,11,489
50,10,10,0.5,0.5,1,488,12,7,493
50,10,10,0.5,0.5,1,492,8,22,478
50,10,10,0.5,0.5,1,485,15,20,480
50,10,10,0.5,0.5,1,491,9,22,478
50,10,10,0.5,0.5,1,498,3,16,484
50,10,10,0.5,0.5,1,487,14,19,481
50,10,10,0.5,0.5,1,488,13,17,483
50,10,10,0.5,0.5,2,492,8,28,472
50,10,10,0.5,0.5,2,491,9,25,475
50,10,10,0.5,0.5,2,495,5,27,473
50,10,10,0.5,0.5,2,498,2,18,482
50,10,10,0.5,0.5,2,494,6,18,482
50,10,10,0.5,0.5,2,495,5,16,484
50,10,10,0.5,0.5,2,496,4,18,482
50,10,10,0.5,0.5,2,493,7,13,487
50,10,10,0.5,0.5,2,489,11,12,488
50,10,10,0.5,0.5,2,488,12,20,480
50,10,10,0.5,0.5,2,474,26,21,479
50,10,10,0.5,0.5,2,493,7,24,476
50,10,10,0.5,0.5,2,492,9,22,478
50,10,10,0.5,0.5,2,488,13,16,484
50,10,10,0.5,0.5,2,487,14,17,483
50,10,10,0.5,0.5,3,495,5,26,474
50,10,10,0.5,0.5,3,493,7,20,480
50,10,10,0.5,0.5,3,494,6,24,476
50,10,10,0.5,0.5,3,497,3,10,490
50,10,10,0.5,0.5,3,495,5,16,484
50,10,10,0.5,0.5,3,496,4,17,483
50,10,10,0.5,0.5,3,486,14,9,491
50,10,10,0.5,0.5,3,492,8,12,488
50,10,10,0.5,0.5,3,491,9,11,489
50,10,10,0.5,0.5,3,489,11,20,480
50,10,10,0.5,0.5,3,493,7,23,477
50,10,10,0.5,0.5,3,487,13,22,478
50,10,10,0.5,0.5,3,491,10,17,483
50,10,10,0.5,0.5,3,484,17,14,486
50,10,10,0.5,0.5,3,487,14,17,483
