number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
50,1,10,0.5,0.5,3,81,20,1,161
50,1,10,0.5,0.5,3,93,8,12,150
50,1,10,0.5,0.5,3,70,31,0,162
50,1,10,0.5,0.5,3,89,12,8,154
50,1,10,0.5,0.5,3,57,44,6,156
50,1,10,0.5,0.5,3,85,16,4,158
50,1,10,0.5,0.5,3,79,22,2,160
50,1,10,0.5,0.5,3,91,10,28,134
50,1,10,0.5,0.5,3,87,14,18,144
50,1,10,0.5,0.5,3,81,20,1,161
50,1,10,0.5,0.5,3,48,53,0,162
50,1,10,0.5,0.5,3,77,24,4,158
50,1,10,0.5,0.5,3,75,30,6,156
50,1,10,0.5,0.5,3,88,17,3,159
50,1,10,0.5,0.5,3,96,9,22,140
50,2,10,0.5,0.5,3,77,24,7,155
50,2,10,0.5,0.5,3,64,37,3,159
50,2,10,0.5,0.5,3,85,16,6,156
50,2,10,0.5,0.5,3,100,1,9,153
50,2,10,0.5,0.5,3,85,16,4,158
50,2,10,0.5,0.5,3,88,13,4,158
50,2,10,0.5,0.5,3,88,13,1,161
50,2,10,0.5,0.5,3,88,13,9,153
50,2,10,0.5,0.5,3,79,22,1,161
50,2,10,0.5,0.5,3,96,5,6,156
50,2,10,0.5,0.5,3,87,14,4,158
50,2,10,0.5,0.5,3,90,11,1,161
50,2,10,0.5,0.5,3,92,13,13,149
50,2,10,0.5,0.5,3,95,10,2,160
50,2,10,0.5,0.5,3,83,22,3,159
50,5,10,0.5,0.5,3,100,1,2,160
50,5,10,0.5,0.5,3,101,0,2,160
50,5,10,0.5,0.5,3,101,0,6,156
50,5,10,0.5,0.5,3,94,7,4,158
50,5,10,0.5,0.5,3,98,3,5,157
50,5,10,0.5,0.5,3,80,21,2,160
50,5,10,0.5,0.5,3,91,10,1,161
50,5,10,0.5,0.5,3,98,3,2,160
50,5,10,0.5,0.5,3,99,2,2,160
50,5,10,0.5,0.5,3,93,8,2,160
50,5,10,0.5,0.5,3,97,4,4,158
50,5,10,0.5,0.5,3,98,3,2,160
50,5,10,0.5,0.5,3,102,3,4,158
50,5,10,0.5,0.5,3,96,9,4,158
50,5,10,0.5,0.5,3,96,9,4,158
50,10,10,0.5,0.5,3,96,5,1,161
50,10,10,0.5,0.5,3,100,1,3,159
50,10,10,0.5,0.5,3,99,2,10,152
50,10,10,0.5,0.5,3,98,3,4,158
50,10,10,0.5,0.5,3,98,3,5,157
50,10,10,0.5,0.5,3,96,5,5,157
50,10,10,0.5,0.5,3,91,10,1,161
50,10,10,0.5,0.5,3,92,9,1,161
50,10,10,0.5,0.5,3,99,2,5,157
50,10,10,0.5,0.5,3,101,0,1,161
50,10,10,0.5,0.5,3,98,3,1,161
50,10,10,0.5,0.5,3,95,6,1,161
50,10,10,0.5,0.5,3,103,2,5,157
50,10,10,0.5,0.5,3,95,10,2,160
50,10,10,0.5,0.5,3,101,4,4,158
50,15,10,0.5,0.5,3,98,3,4,158
50,15,10,0.5,0.5,3,96,5,3,159
50,15,10,0.5,0.5,3,97,4,6,156
50,15,10,0.5,0.5,3,94,7,4,158
50,15,10,0.5,0.5,3,94,7,2,160
50,15,10,0.5,0.5,3,92,9,3,159
50,15,10,0.5,0.5,3,85,16,1,161
50,15,10,0.5,0.5,3,87,14,2,160
50,15,10,0.5,0.5,3,93,8,1,161
50,15,10,0.5,0.5,3,99,2,2,160
50,15,10,0.5,0.5,3,100,1,2,160
50,15,10,0.5,0.5,3,96,5,2,160
50,15,10,0.5,0.5,3,94,11,5,157
50,15,10,0.5,0.5,3,99,6,6,156
50,15,10,0.5,0.5,3,94,11,4,158
50,25,10,0.5,0.5,3,101,0,2,160
50,25,10,0.5,0.5,3,96,5,4,158
50,25,10,0.5,0.5,3,98,3,2,160
50,25,10,0.5,0.5,3,98,3,5,157
50,25,10,0.5,0.5,3,98,3,5,157
50,25,10,0.5,0.5,3,91,10,2,160
50,25,10,0.5,0.5,3,97,4,2,160
50,25,10,0.5,0.5,3,95,6,2,160
50,25,10,0.5,0.5,3,94,7,2,160
50,25,10,0.5,0.5,3,99,2,3,159
50,25,10,0.5,0.5,3,89,12,8,154
50,25,10,0.5,0.5,3,94,7,0,162
50,25,10,0.5,0.5,3,103,2,6,156
50,25,10,0.5,0.5,3,97,8,2,160
50,25,10,0.5,0.5,3,88,17,5,157
50,50,10,0.5,0.5,3,101,0,2,160
50,50,10,0.5,0.5,3,101,0,3,159
50,50,10,0.5,0.5,3,100,1,5,157
50,50,10,0.5,0.5,3,97,4,5,157
50,50,10,0.5,0.5,3,99,2,3,159
50,50,10,0.5,0.5,3,86,15,2,160
50,50,10,0.5,0.5,3,88,13,1,161
50,50,10,0.5,0.5,3,98,3,2,160
50,50,10,0.5,0.5,3,97,4,1,161
50,50,10,0.5,0.5,3,101,0,7,155
50,50,10,0.5,0.5,3,99,2,1,161
50,50,10,0.5,0.5,3,95,6,3,159
50,50,10,0.5,0.5,3,98,7,3,159
50,50,10,0.5,0.5,3,98,7,5,157
50,50,10,0.5,0.5,3,98,7,4,158
50,100,10,0.5,0.5,3,99,2,3,159
50,100,10,0.5,0.5,3,97,4,2,160
50,100,10,0.5,0.5,3,100,1,5,157
50,100,10,0.5,0.5,3,100,1,4,158
50,100,10,0.5,0.5,3,93,8,2,160
50,100,10,0.5,0.5,3,96,5,5,157
50,100,10,0.5,0.5,3,90,11,2,160
50,100,10,0.5,0.5,3,93,8,1,161
50,100,10,0.5,0.5,3,98,3,2,160
50,100,10,0.5,0.5,3,91,10,4,158
50,100,10,0.5,0.5,3,99,2,2,160
50,100,10,0.5,0.5,3,98,3,7,155
50,100,10,0.5,0.5,3,95,10,4,158
50,100,10,0.5,0.5,3,100,5,4,158
50,100,10,0.5,0.5,3,99,6,4,158
