number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,8,2,0,0,0,0,106,30,0,0,0,0,35,88,4,0,0,0,5,19,15,0,0,0,0,2,1,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,6,4,0,0,0,0,115,21,0,0,0,0,41,83,3,0,0,0,4,22,13,0,0,0,0,1,2,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,110,25,1,0,0,0,43,82,2,0,0,0,5,24,10,0,0,0,0,2,1,0
50,10,5,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,111,25,0,0,0,0,32,92,3,0,0,0,1,21,17,0,0,0,0,3,0,0
50,10,5,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,112,24,0,0,0,0,33,91,3,0,0,0,0,22,16,1,0,0,0,3,0,0
50,10,5,0.5,0.5,3,0,0,1,1,0,0,0,0,6,4,0,0,0,0,109,27,0,0,0,0,29,92,6,0,0,0,0,23,16,0,0,0,0,1,2,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,5,5,0,0,0,0,103,33,0,0,0,0,37,89,1,0,0,0,1,21,17,0,0,0,0,2,1,0
50,10,5,0.5,0.5,3,0,0,1,1,0,0,0,0,5,5,0,0,0,0,107,29,0,0,0,0,47,78,2,0,0,0,0,21,18,0,0,0,0,3,0,0
50,10,5,0.5,0.5,3,0,0,1,1,0,0,0,0,6,3,1,0,0,0,109,26,1,0,0,0,41,84,2,0,0,0,2,21,16,0,0,0,0,0,3,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,9,1,0,0,0,0,111,25,0,0,0,0,24,94,9,0,0,0,2,25,12,0,0,0,0,3,0,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,9,1,0,0,0,0,109,27,0,0,0,0,27,93,7,0,0,0,3,25,11,0,0,0,0,3,0,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,7,3,0,0,0,0,115,20,1,0,0,0,27,88,12,0,0,0,3,25,11,0,0,0,0,3,0,0
50,10,5,0.5,0.5,3,0,0,2,0,0,0,0,0,9,4,0,0,0,0,109,28,0,0,0,0,34,94,2,0,0,0,2,30,11,0,0,0,0,5,1,0
