number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,4,6,0,0,0,0,108,28,0,0,0,0,35,92,0,0,0,0,4,25,10,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,7,3,0,0,0,0,107,29,0,0,0,0,35,90,2,0,0,0,4,25,10,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,6,4,0,0,0,0,108,28,0,0,0,0,44,83,0,0,0,0,6,22,11,0,0,0,0,1,2,0
50,10,10,0.5,0.5,0,0,0,1,1,0,0,0,0,7,3,0,0,0,0,106,30,0,0,0,0,33,88,6,0,0,0,1,24,14,0,0,0,0,3,0,0
50,10,10,0.5,0.5,0,0,0,1,1,0,0,0,0,5,5,0,0,0,0,100,36,0,0,0,0,31,91,5,0,0,0,1,25,13,0,0,0,0,1,2,0
50,10,10,0.5,0.5,0,0,0,1,1,0,0,0,0,5,5,0,0,0,0,104,32,0,0,0,0,31,92,4,0,0,0,2,25,12,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,1,1,0,0,0,0,7,2,1,0,0,0,110,25,1,0,0,0,41,85,1,0,0,0,1,28,10,0,0,0,0,3,0,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,6,4,0,0,0,0,103,32,1,0,0,0,44,81,2,0,0,0,1,24,14,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,1,1,0,0,0,0,6,4,0,0,0,0,108,27,1,0,0,0,48,78,1,0,0,0,1,29,9,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,8,2,0,0,0,0,116,20,0,0,0,0,31,87,9,0,0,0,2,26,11,0,0,0,0,2,1,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,9,1,0,0,0,0,113,23,0,0,0,0,30,88,9,0,0,0,4,26,9,0,0,0,0,3,0,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,9,1,0,0,0,0,114,22,0,0,0,0,24,96,7,0,0,0,0,26,13,0,0,0,0,3,0,0
50,10,10,0.5,0.5,0,0,0,2,0,0,0,0,0,10,3,0,0,0,0,110,27,0,0,0,0,44,84,2,0,0,0,5,27,11,0,0,0,0,5,1,0
