number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
50.0,10.0,10.0,0.5,0.1,3.0,488.0,12.2,16.333333333333332,483.6666666666667
50.0,10.0,10.0,0.5,0.2,3.0,489.06666666666666,11.133333333333333,16.066666666666666,483.93333333333334
50.0,10.0,10.0,0.5,0.3,3.0,487.06666666666666,13.133333333333333,15.466666666666667,484.53333333333336
50.0,10.0,10.0,0.5,0.4,3.0,487.06666666666666,13.133333333333333,15.466666666666667,484.53333333333336
50.0,10.0,10.0,0.5,0.5,3.0,487.4,12.8,15.533333333333333,484.46666666666664
50.0,10.0,10.0,0.5,0.6,3.0,486.4,13.8,15.6,484.4
50.0,10.0,10.0,0.5,0.7,3.0,486.46666666666664,13.733333333333333,15.333333333333334,484.6666666666667
50.0,10.0,10.0,0.5,0.8,3.0,486.53333333333336,13.666666666666666,15.066666666666666,484.93333333333334
50.0,10.0,10.0,0.5,0.9,3.0,486.26666666666665,13.933333333333334,15.2,484.8
50.0,10.0,10.0,0.5,1.0,3.0,486.3333333333333,13.866666666666667,15.0,485.0
