number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
1.0,10.0,10.0,0.5,0.5,3.0,98.06666666666666,3.733333333333334,3.133333333333334,158.86666666666667
3.0,10.0,10.0,0.5,0.5,3.0,100.26666666666667,1.533333333333334,2.2,159.8
5.0,10.0,10.0,0.5,0.5,3.0,100.33333333333333,1.466666666666666,2.333333333333334,159.66666666666666
10.0,10.0,10.0,0.5,0.5,3.0,100.26666666666667,1.533333333333334,2.333333333333334,159.66666666666666
15.0,10.0,10.0,0.5,0.5,3.0,100.73333333333333,1.066666666666667,2.333333333333334,159.66666666666666
25.0,10.0,10.0,0.5,0.5,3.0,100.6,1.2,2.533333333333333,159.46666666666667
50.0,10.0,10.0,0.5,0.5,3.0,100.66666666666667,1.133333333333333,2.333333333333334,159.66666666666666
100.0,10.0,10.0,0.5,0.5,3.0,100.46666666666667,1.333333333333333,2.466666666666667,159.53333333333333
200.0,10.0,10.0,0.5,0.5,3.0,100.46666666666667,1.333333333333333,2.466666666666667,159.53333333333333
500.0,10.0,10.0,0.5,0.5,3.0,100.6,1.2,2.466666666666667,159.53333333333333
750.0,10.0,10.0,0.5,0.5,3.0,100.46666666666667,1.333333333333333,2.4,159.6
