number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
1.0,10.0,10.0,0.5,0.5,3.0,74.0,27.8,28.6,133.4
3.0,10.0,10.0,0.5,0.5,3.0,73.6,28.2,23.0,139.0
5.0,10.0,10.0,0.5,0.5,3.0,85.13333333333334,16.666666666666668,15.466666666666667,146.53333333333333
10.0,10.0,10.0,0.5,0.5,3.0,90.6,11.2,9.2,152.8
15.0,10.0,10.0,0.5,0.5,3.0,91.4,10.4,6.333333333333333,155.66666666666666
25.0,10.0,10.0,0.5,0.5,3.0,91.4,10.4,3.4,158.6
50.0,10.0,10.0,0.5,0.5,3.0,96.26666666666667,5.533333333333333,3.2,158.8
100.0,10.0,10.0,0.5,0.5,3.0,98.26666666666667,3.533333333333333,3.0,159.0
200.0,10.0,10.0,0.5,0.5,3.0,98.6,3.2,2.8,159.2
500.0,10.0,10.0,0.5,0.5,3.0,98.8,3.0,2.533333333333333,159.46666666666667
750.0,10.0,10.0,0.5,0.5,3.0,99.53333333333333,2.266666666666666,2.666666666666666,159.33333333333334
