number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
1.0,10.0,10.0,0.5,0.5,3.0,0.0,0.066666666666667,1.266666666666666,0.666666666666667,0.0,0.0,0.066666666666667,0.6,5.8,3.4,0.733333333333333,0.0,0.266666666666667,2.866666666666666,82.86666666666666,43.53333333333333,6.4,0.266666666666667,0.2,2.533333333333333,45.46666666666667,62.53333333333333,16.2,0.666666666666667,0.0,0.2,6.2,18.4,14.6,0.4,0.0,0.0,0.466666666666667,1.933333333333333,1.133333333333333,0.066666666666667
3.0,10.0,10.0,0.5,0.5,3.0,0.0,0.133333333333333,1.4,0.466666666666667,0.0,0.0,0.066666666666667,0.466666666666667,5.6,4.133333333333334,0.333333333333333,0.0,0.2,2.2,94.0,35.6,4.0,0.2,0.333333333333333,1.4,46.2,67.66666666666667,11.733333333333333,0.266666666666667,0.0,0.466666666666667,6.466666666666667,18.6,14.0,0.266666666666667,0.0,0.0,0.333333333333333,2.2,1.066666666666667,0.0
5.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.6,0.4,0.0,0.0,0.0,0.133333333333333,6.0,4.333333333333333,0.133333333333333,0.0,0.0,0.666666666666667,98.06666666666666,35.666666666666664,1.8,0.0,0.066666666666667,0.2,41.8,76.53333333333333,8.933333333333334,0.066666666666667,0.0,0.0,4.6,23.266666666666666,11.733333333333333,0.2,0.0,0.0,0.466666666666667,1.666666666666667,1.466666666666666,0.0
10.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.666666666666667,0.333333333333333,0.0,0.0,0.0,0.066666666666667,7.0,3.466666666666667,0.066666666666667,0.0,0.0,0.066666666666667,102.53333333333333,32.733333333333334,0.866666666666667,0.0,0.0,0.066666666666667,40.2,79.4,7.866666666666666,0.066666666666667,0.0,0.0,3.8,22.8,13.2,0.0,0.0,0.0,0.066666666666667,2.666666666666666,0.866666666666667,0.0
15.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,7.066666666666666,3.466666666666667,0.066666666666667,0.0,0.0,0.0,106.13333333333334,29.4,0.666666666666667,0.0,0.0,0.0,36.93333333333333,84.66666666666667,6.0,0.0,0.0,0.0,3.333333333333334,23.133333333333333,13.333333333333334,0.0,0.0,0.0,0.0,2.6,1.0,0.0
25.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.733333333333334,0.266666666666667,0.0,0.0,0.0,0.0,6.333333333333333,4.2,0.066666666666667,0.0,0.0,0.0,107.6,27.933333333333334,0.666666666666667,0.0,0.0,0.0,38.2,84.6,4.8,0.0,0.0,0.0,2.666666666666666,25.066666666666666,12.066666666666666,0.0,0.0,0.0,0.066666666666667,2.533333333333333,1.0,0.0
50.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.733333333333334,0.266666666666667,0.0,0.0,0.0,0.0,7.133333333333334,3.4,0.066666666666667,0.0,0.0,0.0,110.2,25.8,0.2,0.0,0.0,0.0,35.4,88.8,3.4,0.0,0.0,0.0,2.266666666666666,26.4,11.133333333333333,0.0,0.0,0.0,0.0,2.8,0.8,0.0
100.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.666666666666667,0.333333333333333,0.0,0.0,0.0,0.0,7.066666666666666,3.466666666666667,0.066666666666667,0.0,0.0,0.0,110.4,25.733333333333334,0.066666666666667,0.0,0.0,0.0,35.93333333333333,88.66666666666667,3.0,0.0,0.0,0.0,2.066666666666667,26.066666666666666,11.666666666666666,0.0,0.0,0.0,0.066666666666667,2.733333333333334,0.8,0.0
200.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.666666666666667,0.333333333333333,0.0,0.0,0.0,0.0,7.133333333333334,3.466666666666667,0.0,0.0,0.0,0.0,111.26666666666667,24.866666666666667,0.066666666666667,0.0,0.0,0.0,36.06666666666667,88.53333333333333,3.0,0.0,0.0,0.0,2.133333333333333,26.133333333333333,11.533333333333333,0.0,0.0,0.0,0.0,2.8,0.8,0.0
500.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.733333333333334,0.266666666666667,0.0,0.0,0.0,0.0,7.2,3.4,0.0,0.0,0.0,0.0,110.33333333333333,25.866666666666667,0.0,0.0,0.0,0.0,33.6,91.4,2.6,0.0,0.0,0.0,2.066666666666667,26.8,10.933333333333334,0.0,0.0,0.0,0.0,2.8,0.8,0.0
750.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.733333333333334,0.266666666666667,0.0,0.0,0.0,0.0,7.266666666666667,3.333333333333334,0.0,0.0,0.0,0.0,110.73333333333333,25.466666666666665,0.0,0.0,0.0,0.0,34.86666666666667,89.73333333333333,3.0,0.0,0.0,0.0,2.266666666666666,26.133333333333333,11.4,0.0,0.0,0.0,0.0,2.8,0.8,0.0
