number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,50,10,0.45,0.1,3,1966,35,81,1919
200,50,10,0.45,0.1,3,1975,26,80,1920
200,50,10,0.45,0.1,3,1973,28,77,1923
200,50,10,0.45,0.1,3,1974,27,76,1924
200,50,10,0.45,0.1,3,1976,25,81,1919
200,50,10,0.45,0.2,3,1971,30,83,1917
200,50,10,0.45,0.2,3,1975,26,81,1919
200,50,10,0.45,0.2,3,1974,27,73,1927
200,50,10,0.45,0.2,3,1975,26,78,1922
200,50,10,0.45,0.2,3,1975,26,80,1920
200,50,10,0.45,0.3,3,1971,30,76,1924
200,50,10,0.45,0.3,3,1962,39,76,1924
200,50,10,0.45,0.3,3,1963,38,76,1924
200,50,10,0.45,0.3,3,1965,36,80,1920
200,50,10,0.45,0.3,3,1967,34,77,1923
200,50,10,0.45,0.4,3,1963,38,75,1925
200,50,10,0.45,0.4,3,1968,33,78,1922
200,50,10,0.45,0.4,3,1958,43,75,1925
200,50,10,0.45,0.4,3,1961,40,74,1926
200,50,10,0.45,0.4,3,1970,31,79,1921
200,50,10,0.45,0.5,3,1959,42,89,1911
200,50,10,0.45,0.5,3,1959,42,87,1913
200,50,10,0.45,0.5,3,1959,42,82,1918
200,50,10,0.45,0.5,3,1958,43,83,1917
200,50,10,0.45,0.5,3,1954,47,81,1919
200,50,10,0.45,0.6,3,1954,47,94,1906
200,50,10,0.45,0.6,3,1953,48,93,1907
200,50,10,0.45,0.6,3,1956,45,98,1902
200,50,10,0.45,0.6,3,1960,41,96,1904
200,50,10,0.45,0.6,3,1955,46,98,1902
200,50,10,0.45,0.7,3,1957,44,93,1907
200,50,10,0.45,0.7,3,1957,44,98,1902
200,50,10,0.45,0.7,3,1956,45,96,1904
200,50,10,0.45,0.7,3,1958,43,98,1902
200,50,10,0.45,0.7,3,1960,41,95,1905
200,50,10,0.45,0.8,3,1960,41,105,1895
200,50,10,0.45,0.8,3,1961,40,99,1901
200,50,10,0.45,0.8,3,1959,42,98,1902
200,50,10,0.45,0.8,3,1963,38,101,1899
200,50,10,0.45,0.8,3,1958,43,100,1900
200,50,10,0.45,0.9,3,1963,38,105,1895
200,50,10,0.45,0.9,3,1961,40,102,1898
200,50,10,0.45,0.9,3,1959,42,103,1897
200,50,10,0.45,0.9,3,1964,37,107,1893
200,50,10,0.45,0.9,3,1962,39,114,1886
200,50,10,0.45,1.0,3,1967,34,115,1885
200,50,10,0.45,1.0,3,1958,43,98,1902
200,50,10,0.45,1.0,3,1961,40,103,1897
200,50,10,0.45,1.0,3,1957,44,105,1895
200,50,10,0.45,1.0,3,1963,38,108,1892
