number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,50,1,0.45,0.75,3,1921,80,78,1922
200,50,1,0.45,0.75,3,1918,83,77,1923
200,50,1,0.45,0.75,3,1919,82,76,1924
200,50,1,0.45,0.75,3,1920,81,75,1925
200,50,1,0.45,0.75,3,1917,84,78,1922
200,50,2,0.45,0.75,3,1933,68,93,1907
200,50,2,0.45,0.75,3,1936,65,90,1910
200,50,2,0.45,0.75,3,1938,63,91,1909
200,50,2,0.45,0.75,3,1924,77,92,1908
200,50,2,0.45,0.75,3,1935,66,93,1907
200,50,5,0.45,0.75,3,1955,46,106,1894
200,50,5,0.45,0.75,3,1958,43,111,1889
200,50,5,0.45,0.75,3,1959,42,105,1895
200,50,5,0.45,0.75,3,1961,40,111,1889
200,50,5,0.45,0.75,3,1958,43,111,1889
200,50,10,0.45,0.75,3,1961,40,99,1901
200,50,10,0.45,0.75,3,1960,41,105,1895
200,50,10,0.45,0.75,3,1960,41,98,1902
200,50,10,0.45,0.75,3,1962,39,99,1901
200,50,10,0.45,0.75,3,1958,43,100,1900
200,50,15,0.45,0.75,3,1958,43,106,1894
200,50,15,0.45,0.75,3,1954,47,104,1896
200,50,15,0.45,0.75,3,1944,57,99,1901
200,50,15,0.45,0.75,3,1945,56,93,1907
200,50,15,0.45,0.75,3,1950,51,106,1894
200,50,20,0.45,0.75,3,1956,45,118,1882
200,50,20,0.45,0.75,3,1936,65,105,1895
200,50,20,0.45,0.75,3,1951,50,110,1890
200,50,20,0.45,0.75,3,1952,49,115,1885
200,50,20,0.45,0.75,3,1940,61,121,1879
200,50,30,0.45,0.75,3,1926,75,96,1904
200,50,30,0.45,0.75,3,1942,59,97,1903
200,50,30,0.45,0.75,3,1944,57,112,1888
200,50,30,0.45,0.75,3,1917,84,90,1910
200,50,30,0.45,0.75,3,1932,69,104,1896
200,50,50,0.45,0.75,3,1912,89,90,1910
200,50,50,0.45,0.75,3,1917,84,90,1910
200,50,50,0.45,0.75,3,1917,84,90,1910
200,50,50,0.45,0.75,3,1917,84,90,1910
200,50,50,0.45,0.75,3,1917,84,90,1910
200,50,75,0.45,0.75,3,1913,88,89,1911
200,50,75,0.45,0.75,3,1917,84,90,1910
200,50,75,0.45,0.75,3,1935,66,94,1906
200,50,75,0.45,0.75,3,1934,67,98,1902
200,50,75,0.45,0.75,3,1935,66,96,1904
200,50,100,0.45,0.75,3,1919,82,115,1885
200,50,100,0.45,0.75,3,1889,112,122,1878
200,50,100,0.45,0.75,3,1889,112,122,1878
200,50,100,0.45,0.75,3,1920,81,87,1913
200,50,100,0.45,0.75,3,1935,66,88,1912
