number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
1,50,10,0.45,0.75,3,1926,75,72,1928
1,50,10,0.45,0.75,3,1896,105,104,1896
1,50,10,0.45,0.75,3,1906,95,92,1908
1,50,10,0.45,0.75,3,1901,100,119,1881
1,50,10,0.45,0.75,3,1923,78,100,1900
2,50,10,0.45,0.75,3,1934,67,80,1920
2,50,10,0.45,0.75,3,1917,84,83,1917
2,50,10,0.45,0.75,3,1946,55,85,1915
2,50,10,0.45,0.75,3,1949,52,80,1920
2,50,10,0.45,0.75,3,1906,95,80,1920
5,50,10,0.45,0.75,3,1912,89,72,1928
5,50,10,0.45,0.75,3,1910,91,72,1928
5,50,10,0.45,0.75,3,1917,84,82,1918
5,50,10,0.45,0.75,3,1928,73,87,1913
5,50,10,0.45,0.75,3,1956,45,109,1891
10,50,10,0.45,0.75,3,1947,54,89,1911
10,50,10,0.45,0.75,3,1934,67,84,1916
10,50,10,0.45,0.75,3,1958,43,71,1929
10,50,10,0.45,0.75,3,1937,64,101,1899
10,50,10,0.45,0.75,3,1960,41,120,1880
15,50,10,0.45,0.75,3,1956,45,118,1882
15,50,10,0.45,0.75,3,1933,68,81,1919
15,50,10,0.45,0.75,3,1937,64,103,1897
15,50,10,0.45,0.75,3,1941,60,89,1911
15,50,10,0.45,0.75,3,1953,48,93,1907
25,50,10,0.45,0.75,3,1925,76,82,1918
25,50,10,0.45,0.75,3,1957,44,103,1897
25,50,10,0.45,0.75,3,1950,51,99,1901
25,50,10,0.45,0.75,3,1925,76,91,1909
25,50,10,0.45,0.75,3,1952,49,95,1905
50,50,10,0.45,0.75,3,1960,41,101,1899
50,50,10,0.45,0.75,3,1954,47,102,1898
50,50,10,0.45,0.75,3,1952,49,96,1904
50,50,10,0.45,0.75,3,1946,55,103,1897
50,50,10,0.45,0.75,3,1957,44,103,1897
100,50,10,0.45,0.75,3,1957,44,98,1902
100,50,10,0.45,0.75,3,1939,62,87,1913
100,50,10,0.45,0.75,3,1949,52,98,1902
100,50,10,0.45,0.75,3,1940,61,90,1910
100,50,10,0.45,0.75,3,1959,42,104,1896
200,50,10,0.45,0.75,3,1959,42,98,1902
200,50,10,0.45,0.75,3,1961,40,99,1901
200,50,10,0.45,0.75,3,1958,43,98,1902
200,50,10,0.45,0.75,3,1958,43,99,1901
200,50,10,0.45,0.75,3,1957,44,102,1898
500,50,10,0.45,0.75,3,1957,44,103,1897
500,50,10,0.45,0.75,3,1957,44,98,1902
500,50,10,0.45,0.75,3,1960,41,101,1899
500,50,10,0.45,0.75,3,1959,42,98,1902
500,50,10,0.45,0.75,3,1958,43,102,1898
