number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,50,10,0.45,0.1,3,385,23,6,642
200,50,10,0.45,0.1,3,389,19,7,641
200,50,10,0.45,0.1,3,385,23,6,642
200,50,10,0.45,0.1,3,388,20,7,641
200,50,10,0.45,0.1,3,386,22,5,643
200,50,10,0.45,0.2,3,392,16,7,641
200,50,10,0.45,0.2,3,387,21,7,641
200,50,10,0.45,0.2,3,384,24,7,641
200,50,10,0.45,0.2,3,389,19,6,642
200,50,10,0.45,0.2,3,390,18,6,642
200,50,10,0.45,0.3,3,387,21,7,641
200,50,10,0.45,0.3,3,393,15,9,639
200,50,10,0.45,0.3,3,390,18,7,641
200,50,10,0.45,0.3,3,387,21,7,641
200,50,10,0.45,0.3,3,392,16,7,641
200,50,10,0.45,0.4,3,389,19,7,641
200,50,10,0.45,0.4,3,388,20,8,640
200,50,10,0.45,0.4,3,388,20,8,640
200,50,10,0.45,0.4,3,388,20,8,640
200,50,10,0.45,0.4,3,390,18,8,640
200,50,10,0.45,0.5,3,390,18,8,640
200,50,10,0.45,0.5,3,388,20,8,640
200,50,10,0.45,0.5,3,388,20,8,640
200,50,10,0.45,0.5,3,389,19,8,640
200,50,10,0.45,0.5,3,388,20,8,640
200,50,10,0.45,0.6,3,388,20,8,640
200,50,10,0.45,0.6,3,389,19,8,640
200,50,10,0.45,0.6,3,389,19,8,640
200,50,10,0.45,0.6,3,388,20,8,640
200,50,10,0.45,0.6,3,388,20,8,640
200,50,10,0.45,0.7,3,388,20,8,640
200,50,10,0.45,0.7,3,389,19,8,640
200,50,10,0.45,0.7,3,389,19,8,640
200,50,10,0.45,0.7,3,388,20,8,640
200,50,10,0.45,0.7,3,389,19,8,640
200,50,10,0.45,0.8,3,389,19,8,640
200,50,10,0.45,0.8,3,389,19,8,640
200,50,10,0.45,0.8,3,388,20,8,640
200,50,10,0.45,0.8,3,389,19,8,640
200,50,10,0.45,0.8,3,388,20,8,640
200,50,10,0.45,0.9,3,389,19,8,640
200,50,10,0.45,0.9,3,389,19,8,640
200,50,10,0.45,0.9,3,388,20,8,640
200,50,10,0.45,0.9,3,389,19,8,640
200,50,10,0.45,0.9,3,389,19,8,640
200,50,10,0.45,1.0,3,388,20,8,640
200,50,10,0.45,1.0,3,386,22,7,641
200,50,10,0.45,1.0,3,380,28,6,642
200,50,10,0.45,1.0,3,389,19,8,640
200,50,10,0.45,1.0,3,389,19,8,640
