number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,50,10,0.45,0.75,0,389,19,8,640
200,50,10,0.45,0.75,0,389,19,8,640
200,50,10,0.45,0.75,0,389,19,8,640
200,50,10,0.45,0.75,0,389,19,8,640
200,50,10,0.45,0.75,0,389,19,8,640
200,50,10,0.45,0.75,1,389,19,8,640
200,50,10,0.45,0.75,1,388,20,8,640
200,50,10,0.45,0.75,1,388,20,8,640
200,50,10,0.45,0.75,1,388,20,8,640
200,50,10,0.45,0.75,1,389,19,8,640
200,50,10,0.45,0.75,2,389,19,8,640
200,50,10,0.45,0.75,2,389,19,8,640
200,50,10,0.45,0.75,2,389,19,8,640
200,50,10,0.45,0.75,2,389,19,8,640
200,50,10,0.45,0.75,2,388,20,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,385,23,7,641
