number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,50,1,0.45,0.75,3,0,0,8,0,0,0,0,0,33,9,1,0,0,0,436,107,2,0,0,0,173,304,34,0,0,0,16,103,41,0,0,0,1,9,5,0
200,50,1,0.45,0.75,3,0,0,8,0,0,0,0,0,32,9,2,0,0,1,447,93,4,0,0,0,179,295,37,0,0,0,14,105,39,2,0,0,1,8,6,0
200,50,1,0.45,0.75,3,0,0,8,0,0,0,0,0,31,11,1,0,0,1,448,92,4,0,0,0,185,294,32,0,0,0,17,98,44,1,0,0,0,10,5,0
200,50,1,0.45,0.75,3,0,0,8,0,0,0,0,0,32,10,1,0,0,1,450,90,4,0,0,0,186,287,38,0,0,0,18,99,43,0,0,0,0,10,5,0
200,50,1,0.45,0.75,3,0,0,8,0,0,0,0,0,34,8,1,0,0,1,453,88,3,0,0,0,183,292,36,0,0,0,16,96,47,1,0,0,1,9,5,0
200,50,2,0.45,0.75,3,0,0,8,0,0,0,0,0,33,9,1,0,0,0,452,90,3,0,0,0,187,295,29,0,0,0,16,102,42,0,0,0,0,10,5,0
200,50,2,0.45,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,447,95,3,0,0,0,181,300,30,0,0,0,16,99,45,0,0,0,0,10,5,0
200,50,2,0.45,0.75,3,0,0,8,0,0,0,0,0,32,10,1,0,0,0,442,100,3,0,0,0,175,304,32,0,0,0,14,102,44,0,0,0,0,10,5,0
200,50,2,0.45,0.75,3,0,0,7,1,0,0,0,0,33,9,1,0,0,0,445,98,2,0,0,0,177,304,30,0,0,0,16,101,43,0,0,0,0,10,5,0
200,50,2,0.45,0.75,3,0,0,7,1,0,0,0,0,32,9,2,0,0,0,452,91,2,0,0,0,181,303,27,0,0,0,16,105,39,0,0,0,0,10,5,0
