number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,50,10,0.45,0.75,0,0,0,7,1,0,0,0,0,31,12,0,0,0,0,435,108,2,0,0,0,179,309,23,0,0,0,12,117,31,0,0,0,0,12,3,0
200,50,10,0.45,0.75,0,0,0,7,1,0,0,0,0,32,11,0,0,0,0,438,105,2,0,0,0,183,301,27,0,0,0,11,110,39,0,0,0,0,11,4,0
200,50,10,0.45,0.75,0,0,0,7,1,0,0,0,0,30,13,0,0,0,0,426,116,3,0,0,0,180,306,25,0,0,0,14,112,34,0,0,0,0,11,4,0
200,50,10,0.45,0.75,0,0,0,7,1,0,0,0,0,30,13,0,0,0,0,431,111,3,0,0,0,174,316,21,0,0,0,11,117,32,0,0,0,0,11,4,0
200,50,10,0.45,0.75,0,0,0,7,1,0,0,0,0,30,13,0,0,0,0,430,113,2,0,0,0,184,303,24,0,0,0,11,116,33,0,0,0,0,12,3,0
200,50,10,0.45,0.75,1,0,0,7,1,0,0,0,0,30,13,0,0,0,0,435,108,2,0,0,0,192,300,19,0,0,0,12,116,32,0,0,0,0,12,3,0
200,50,10,0.45,0.75,1,0,0,7,1,0,0,0,0,30,13,0,0,0,0,434,109,2,0,0,0,182,308,21,0,0,0,11,114,35,0,0,0,0,11,4,0
200,50,10,0.45,0.75,1,0,0,7,1,0,0,0,0,30,13,0,0,0,0,434,108,3,0,0,0,185,305,21,0,0,0,12,113,35,0,0,0,0,12,3,0
200,50,10,0.45,0.75,1,0,0,7,1,0,0,0,0,31,11,1,0,0,0,437,106,2,0,0,0,181,308,22,0,0,0,14,115,31,0,0,0,0,12,3,0
200,50,10,0.45,0.75,1,0,0,7,1,0,0,0,0,30,13,0,0,0,0,429,114,2,0,0,0,184,305,22,0,0,0,10,118,32,0,0,0,0,10,5,0
200,50,10,0.45,0.75,2,0,0,7,1,0,0,0,0,32,11,0,0,0,0,440,102,3,0,0,0,184,298,29,0,0,0,16,109,35,0,0,0,0,10,5,0
200,50,10,0.45,0.75,2,0,0,7,1,0,0,0,0,31,12,0,0,0,0,428,114,3,0,0,0,180,304,27,0,0,0,14,110,36,0,0,0,0,11,4,0
200,50,10,0.45,0.75,2,0,0,7,1,0,0,0,0,30,13,0,0,0,0,428,115,2,0,0,0,181,308,22,0,0,0,14,109,37,0,0,0,0,11,4,0
200,50,10,0.45,0.75,2,0,0,7,1,0,0,0,0,30,13,0,0,0,0,430,112,3,0,0,0,191,298,22,0,0,0,12,111,37,0,0,0,0,12,3,0
200,50,10,0.45,0.75,2,0,0,7,1,0,0,0,0,30,13,0,0,0,0,421,121,3,0,0,0,178,307,26,0,0,0,12,110,38,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,426,117,2,0,0,0,182,308,21,0,0,0,14,112,34,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,436,106,3,0,0,0,196,291,24,0,0,0,11,116,33,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,438,104,3,0,0,0,197,290,24,0,0,0,13,113,34,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,441,101,3,0,0,0,192,296,23,0,0,0,9,118,33,0,0,0,0,12,3,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,445,97,3,0,0,0,176,310,25,0,0,0,13,108,39,0,0,0,0,10,5,0
