number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200.0,1.0,10.0,0.45,0.75,3.0,1917.0,84.0,90.0,1910.0
200.0,2.0,10.0,0.45,0.75,3.0,1956.2,44.8,97.4,1902.6
200.0,5.0,10.0,0.45,0.75,3.0,1959.2,41.8,99.4,1900.6
200.0,10.0,10.0,0.45,0.75,3.0,1955.4,45.6,95.8,1904.2
200.0,15.0,10.0,0.45,0.75,3.0,1958.8,42.2,102.6,1897.4
200.0,25.0,10.0,0.45,0.75,3.0,1958.8,42.2,99.8,1900.2
200.0,50.0,10.0,0.45,0.75,3.0,1960.2,40.8,100.2,1899.8
200.0,100.0,10.0,0.45,0.75,3.0,1956.4,44.6,100.6,1899.4
200.0,200.0,10.0,0.45,0.75,3.0,1958.4,42.6,99.6,1900.4
200.0,500.0,10.0,0.45,0.75,3.0,1954.8,46.2,99.2,1900.8
