number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200.0,50.0,1.0,0.45,0.75,3.0,1919.0,82.0,76.8,1923.2
200.0,50.0,2.0,0.45,0.75,3.0,1933.2,67.8,91.8,1908.2
200.0,50.0,5.0,0.45,0.75,3.0,1958.2,42.8,108.8,1891.2
200.0,50.0,10.0,0.45,0.75,3.0,1960.2,40.8,100.2,1899.8
200.0,50.0,15.0,0.45,0.75,3.0,1950.2,50.8,101.6,1898.4
200.0,50.0,20.0,0.45,0.75,3.0,1947.0,54.0,113.8,1886.2
200.0,50.0,30.0,0.45,0.75,3.0,1932.2,68.8,99.8,1900.2
200.0,50.0,50.0,0.45,0.75,3.0,1916.0,85.0,90.0,1910.0
200.0,50.0,75.0,0.45,0.75,3.0,1926.8,74.2,93.4,1906.6
200.0,50.0,100.0,0.45,0.75,3.0,1910.4,90.6,106.8,1893.2
