number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200.0,50.0,1.0,0.45,0.75,3.0,1955.2,45.8,70.8,1929.2
200.0,50.0,2.0,0.45,0.75,3.0,1949.2,51.8,67.6,1932.4
200.0,50.0,5.0,0.45,0.75,3.0,1957.2,43.8,72.0,1928.0
200.0,50.0,10.0,0.45,0.75,3.0,1962.2,38.8,73.4,1926.6
200.0,50.0,15.0,0.45,0.75,3.0,1960.4,40.6,75.2,1924.8
200.0,50.0,20.0,0.45,0.75,3.0,1967.0,34.0,76.6,1923.4
200.0,50.0,30.0,0.45,0.75,3.0,1967.2,33.8,77.6,1922.4
200.0,50.0,50.0,0.45,0.75,3.0,1966.2,34.8,75.4,1924.6
200.0,50.0,75.0,0.45,0.75,3.0,1973.6,27.4,80.6,1919.4
200.0,50.0,100.0,0.45,0.75,3.0,1982.6,18.4,94.8,1905.2
