number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200.0,50.0,10.0,0.1,0.75,3.0,1962.4,38.6,73.4,1926.6
200.0,50.0,10.0,0.2,0.75,3.0,1959.2,41.8,73.8,1926.2
200.0,50.0,10.0,0.3,0.75,3.0,1960.8,40.2,73.0,1927.0
200.0,50.0,10.0,0.4,0.75,3.0,1956.4,44.6,71.4,1928.6
200.0,50.0,10.0,0.5,0.75,3.0,1965.2,35.8,72.8,1927.2
200.0,50.0,10.0,0.6,0.75,3.0,1961.8,39.2,71.4,1928.6
200.0,50.0,10.0,0.7,0.75,3.0,1956.6,44.4,72.6,1927.4
200.0,50.0,10.0,0.8,0.75,3.0,1960.4,40.6,74.0,1926.0
200.0,50.0,10.0,0.9,0.75,3.0,1956.4,44.6,75.0,1925.0
200.0,50.0,10.0,1.0,0.75,3.0,1959.4,41.6,73.8,1926.2
