number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200.0,50.0,10.0,0.45,0.1,3.0,386.6,21.4,6.2,641.8
200.0,50.0,10.0,0.45,0.2,3.0,388.4,19.6,6.6,641.4
200.0,50.0,10.0,0.45,0.3,3.0,389.8,18.2,7.4,640.6
200.0,50.0,10.0,0.45,0.4,3.0,388.6,19.4,7.8,640.2
200.0,50.0,10.0,0.45,0.5,3.0,388.6,19.4,8.0,640.0
200.0,50.0,10.0,0.45,0.6,3.0,388.4,19.6,8.0,640.0
200.0,50.0,10.0,0.45,0.7,3.0,388.6,19.4,8.0,640.0
200.0,50.0,10.0,0.45,0.8,3.0,388.6,19.4,8.0,640.0
200.0,50.0,10.0,0.45,0.9,3.0,388.8,19.2,8.0,640.0
200.0,50.0,10.0,0.45,1.0,3.0,386.4,21.6,7.4,640.6
