number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200.0,50.0,1.0,0.45,0.75,3.0,392.8,15.2,10.4,637.6
200.0,50.0,2.0,0.45,0.75,3.0,392.4,15.6,9.8,638.2
200.0,50.0,5.0,0.45,0.75,3.0,392.4,15.6,9.0,639.0
200.0,50.0,10.0,0.45,0.75,3.0,392.2,15.8,9.4,638.6
200.0,50.0,15.0,0.45,0.75,3.0,393.6,14.4,11.6,636.4
200.0,50.0,20.0,0.45,0.75,3.0,392.8,15.2,9.8,638.2
200.0,50.0,30.0,0.45,0.75,3.0,392.4,15.6,9.2,638.8
200.0,50.0,50.0,0.45,0.75,3.0,386.4,21.6,10.8,637.2
200.0,50.0,75.0,0.45,0.75,3.0,382.4,25.6,13.6,634.4
200.0,50.0,100.0,0.45,0.75,3.0,384.8,23.2,21.2,626.8
