number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
1.0,50.0,10.0,0.45,0.75,3.0,384.2,23.8,16.0,632.0
2.0,50.0,10.0,0.45,0.75,3.0,394.8,13.2,9.6,638.4
5.0,50.0,10.0,0.45,0.75,3.0,385.6,22.4,6.2,641.8
10.0,50.0,10.0,0.45,0.75,3.0,388.0,20.0,7.4,640.6
15.0,50.0,10.0,0.45,0.75,3.0,387.8,20.2,7.8,640.2
25.0,50.0,10.0,0.45,0.75,3.0,385.0,23.0,7.0,641.0
50.0,50.0,10.0,0.45,0.75,3.0,389.4,18.6,8.0,640.0
100.0,50.0,10.0,0.45,0.75,3.0,390.0,18.0,8.2,639.8
200.0,50.0,10.0,0.45,0.75,3.0,389.0,19.0,8.0,640.0
500.0,50.0,10.0,0.45,0.75,3.0,388.6,19.4,8.0,640.0
