number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
1.0,50.0,10.0,0.45,0.75,3.0,361.8,46.2,35.6,612.4
2.0,50.0,10.0,0.45,0.75,3.0,306.2,101.8,102.6,545.4
5.0,50.0,10.0,0.45,0.75,3.0,358.8,49.2,20.8,627.2
10.0,50.0,10.0,0.45,0.75,3.0,382.8,25.2,14.8,633.2
15.0,50.0,10.0,0.45,0.75,3.0,383.6,24.4,11.4,636.6
25.0,50.0,10.0,0.45,0.75,3.0,393.6,14.4,12.2,635.8
50.0,50.0,10.0,0.45,0.75,3.0,388.6,19.4,10.4,637.6
100.0,50.0,10.0,0.45,0.75,3.0,393.6,14.4,9.0,639.0
200.0,50.0,10.0,0.45,0.75,3.0,391.6,16.4,9.2,638.8
500.0,50.0,10.0,0.45,0.75,3.0,392.2,15.8,9.2,638.8
