number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200.0,50.0,10.0,0.45,0.1,3.0,0.0,0.0,6.6,1.4,0.0,0.0,0.0,0.0,32.0,11.0,0.0,0.0,0.0,0.0,412.4,132.6,0.0,0.0,0.0,0.0,265.4,245.2,0.4,0.0,0.0,0.0,45.6,112.4,2.0,0.0,0.0,0.0,3.0,11.6,0.4,0.0
200.0,50.0,10.0,0.45,0.2,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,34.0,9.0,0.0,0.0,0.0,0.0,451.6,93.0,0.4,0.0,0.0,0.0,233.0,276.6,1.4,0.0,0.0,0.0,26.0,122.6,11.4,0.0,0.0,0.0,1.6,12.2,1.2,0.0
200.0,50.0,10.0,0.45,0.3,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,34.0,8.8,0.2,0.0,0.0,0.0,455.4,89.0,0.6,0.0,0.0,0.0,214.8,292.8,3.4,0.0,0.0,0.0,19.8,122.6,17.6,0.0,0.0,0.0,0.8,12.4,1.8,0.0
200.0,50.0,10.0,0.45,0.4,3.0,0.0,0.0,7.2,0.8,0.0,0.0,0.0,0.0,33.0,10.0,0.0,0.0,0.0,0.0,455.0,89.4,0.6,0.0,0.0,0.0,200.6,304.6,5.8,0.0,0.0,0.0,16.4,123.2,20.4,0.0,0.0,0.0,0.6,12.4,2.0,0.0
200.0,50.0,10.0,0.45,0.5,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,33.8,8.8,0.4,0.0,0.0,0.0,461.6,83.0,0.4,0.0,0.0,0.0,208.4,292.0,10.6,0.0,0.0,0.0,18.4,118.8,22.8,0.0,0.0,0.0,0.2,12.2,2.6,0.0
200.0,50.0,10.0,0.45,0.6,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,32.6,10.2,0.2,0.0,0.0,0.0,460.0,84.2,0.8,0.0,0.0,0.0,197.0,301.8,12.2,0.0,0.0,0.0,16.4,117.4,26.2,0.0,0.0,0.0,0.0,12.4,2.6,0.0
200.0,50.0,10.0,0.45,0.7,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,33.8,9.2,0.0,0.0,0.0,0.0,457.2,86.8,1.0,0.0,0.0,0.0,198.8,298.4,13.8,0.0,0.0,0.0,16.6,117.4,26.0,0.0,0.0,0.0,0.2,11.8,3.0,0.0
200.0,50.0,10.0,0.45,0.8,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,32.8,10.2,0.0,0.0,0.0,0.0,451.6,92.6,0.8,0.0,0.0,0.0,192.0,302.0,17.0,0.0,0.0,0.0,15.8,113.2,31.0,0.0,0.0,0.0,0.0,11.2,3.8,0.0
200.0,50.0,10.0,0.45,0.9,3.0,0.0,0.0,7.4,0.6,0.0,0.0,0.0,0.0,33.0,10.0,0.0,0.0,0.0,0.0,450.6,93.2,1.2,0.0,0.0,0.0,189.6,306.2,15.2,0.0,0.0,0.0,14.8,117.8,27.4,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,10.0,0.45,1.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,32.6,10.4,0.0,0.0,0.0,0.0,454.8,89.0,1.2,0.0,0.0,0.0,194.2,298.0,18.8,0.0,0.0,0.0,14.2,118.0,27.8,0.0,0.0,0.0,0.0,11.0,4.0,0.0
