number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
50.0,1.0,10.0,0.5,0.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.8,3.2,0.0,0.0,0.0,0.0,107.4,28.6,0.0,0.0,0.0,0.0,48.0,79.0,0.0,0.0,0.0,0.0,2.8,36.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
50.0,1.0,10.0,0.5,0.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.6,3.4,0.0,0.0,0.0,0.0,104.8,31.2,0.0,0.0,0.0,0.0,56.2,70.8,0.0,0.0,0.0,0.0,4.4,34.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
50.0,1.0,10.0,0.5,0.5,3.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,8.6,3.2,0.0,0.0,0.0,0.0,108.8,27.8,0.0,0.0,0.0,0.0,48.0,80.8,0.0,0.0,0.0,0.0,3.0,38.4,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0
50.0,2.0,10.0,0.5,0.5,3.0,0.0,0.0,1.6,0.4,0.0,0.0,0.0,0.0,6.6,3.4,0.0,0.0,0.0,0.0,107.2,28.8,0.0,0.0,0.0,0.0,46.2,80.8,0.0,0.0,0.0,0.0,1.6,37.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
50.0,2.0,10.0,0.5,0.5,3.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,6.6,3.4,0.0,0.0,0.0,0.0,99.2,36.8,0.0,0.0,0.0,0.0,48.8,78.2,0.0,0.0,0.0,0.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
50.0,2.0,10.0,0.5,0.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.8,0.0,0.0,0.0,0.0,108.0,28.6,0.0,0.0,0.0,0.0,47.2,81.6,0.0,0.0,0.0,0.0,3.2,38.2,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0
50.0,5.0,10.0,0.5,0.5,3.0,0.0,0.0,1.6,0.4,0.0,0.0,0.0,0.0,6.8,3.0,0.2,0.0,0.0,0.0,107.8,28.0,0.2,0.0,0.0,0.0,42.6,83.0,1.4,0.0,0.0,0.0,0.6,36.0,2.4,0.0,0.0,0.0,0.0,2.8,0.2,0.0
50.0,5.0,10.0,0.5,0.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.4,3.6,0.0,0.0,0.0,0.0,102.2,33.8,0.0,0.0,0.0,0.0,46.0,80.6,0.4,0.0,0.0,0.0,2.6,33.2,3.2,0.0,0.0,0.0,0.0,2.8,0.2,0.0
50.0,5.0,10.0,0.5,0.5,3.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,7.8,4.0,0.0,0.0,0.0,0.0,106.6,30.0,0.0,0.0,0.0,0.0,39.2,88.6,1.0,0.0,0.0,0.0,2.2,34.6,4.6,0.0,0.0,0.0,0.0,4.4,0.4,0.0
50.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,7.6,2.2,0.2,0.0,0.0,0.0,110.8,24.2,1.0,0.0,0.0,0.0,35.2,87.6,4.2,0.0,0.0,0.0,1.6,27.0,10.4,0.0,0.0,0.0,0.0,2.6,0.4,0.0
50.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,7.4,2.6,0.0,0.0,0.0,0.0,109.6,26.4,0.0,0.0,0.0,0.0,36.0,88.8,2.2,0.0,0.0,0.0,3.0,25.0,11.0,0.0,0.0,0.0,0.0,2.2,0.8,0.0
50.0,10.0,10.0,0.5,0.5,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,108.0,27.0,1.0,0.0,0.0,0.0,36.0,89.0,2.0,0.0,0.0,0.0,3.0,22.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
