number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200.0,50.0,1.0,0.45,0.75,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,32.4,9.4,1.2,0.0,0.0,0.8,446.8,94.0,3.4,0.0,0.0,0.0,181.2,294.4,35.4,0.0,0.0,0.0,16.2,100.2,42.8,0.8,0.0,0.0,0.6,9.2,5.2,0.0
200.0,50.0,2.0,0.45,0.75,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,32.6,9.4,1.0,0.0,0.0,0.0,447.6,94.8,2.6,0.0,0.0,0.0,180.2,301.2,29.6,0.0,0.0,0.0,15.6,101.8,42.6,0.0,0.0,0.0,0.0,10.0,5.0,0.0
200.0,50.0,5.0,0.45,0.75,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,30.8,11.6,0.6,0.0,0.0,0.0,443.8,98.4,2.8,0.0,0.0,0.0,180.4,302.0,28.6,0.0,0.0,0.0,13.8,108.8,37.4,0.0,0.0,0.0,0.0,9.8,5.2,0.0
200.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,30.2,12.8,0.0,0.0,0.0,0.0,434.6,108.2,2.2,0.0,0.0,0.0,185.4,303.0,22.6,0.0,0.0,0.0,11.8,117.8,30.4,0.0,0.0,0.0,0.0,11.4,3.6,0.0
200.0,50.0,15.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,29.8,13.2,0.0,0.0,0.0,0.0,430.0,112.8,2.2,0.0,0.0,0.0,189.6,305.0,16.4,0.0,0.0,0.0,9.4,124.8,25.8,0.0,0.0,0.0,0.0,12.0,3.0,0.0
200.0,50.0,20.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,427.0,117.8,0.2,0.0,0.0,0.0,197.0,310.4,3.6,0.0,0.0,0.0,9.2,140.8,10.0,0.0,0.0,0.0,0.0,13.6,1.4,0.0
200.0,50.0,30.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,29.4,13.6,0.0,0.0,0.0,0.0,424.2,120.8,0.0,0.0,0.0,0.0,195.8,315.2,0.0,0.0,0.0,0.0,9.2,150.8,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
200.0,50.0,50.0,0.45,0.75,3.0,0.0,0.0,5.8,2.2,0.0,0.0,0.0,0.0,26.4,16.6,0.0,0.0,0.0,0.0,419.4,125.6,0.0,0.0,0.0,0.0,200.2,310.8,0.0,0.0,0.0,0.0,13.0,147.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
200.0,50.0,75.0,0.45,0.75,3.0,0.0,0.0,6.4,1.6,0.0,0.0,0.0,0.0,27.6,15.4,0.0,0.0,0.0,0.0,461.6,83.4,0.0,0.0,0.0,0.0,269.0,242.0,0.0,0.0,0.0,0.0,25.0,135.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0
200.0,50.0,100.0,0.45,0.75,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,35.8,7.2,0.0,0.0,0.0,0.0,464.8,80.2,0.0,0.0,0.0,0.0,262.0,249.0,0.0,0.0,0.0,0.0,26.4,133.6,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0
