number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200.0,50.0,1.0,0.45,0.75,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,32.6,9.8,0.6,0.0,0.0,0.0,457.4,85.0,2.6,0.0,0.0,0.0,188.6,301.6,20.8,0.0,0.0,0.0,18.4,110.2,31.4,0.0,0.0,0.0,0.2,10.8,4.0,0.0
200.0,50.0,2.0,0.45,0.75,3.0,0.0,0.0,7.8,0.2,0.0,0.0,0.0,0.0,33.2,9.4,0.4,0.0,0.0,0.4,452.8,89.0,2.8,0.0,0.0,0.0,191.2,298.8,21.0,0.0,0.0,0.0,18.6,109.6,31.8,0.0,0.0,0.0,0.2,10.8,4.0,0.0
200.0,50.0,5.0,0.45,0.75,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,33.8,8.6,0.6,0.0,0.0,0.0,455.6,88.0,1.4,0.0,0.0,0.0,198.2,291.2,21.6,0.0,0.0,0.0,17.6,110.4,32.0,0.0,0.0,0.0,0.0,11.2,3.8,0.0
200.0,50.0,10.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,33.0,10.0,0.0,0.0,0.0,0.0,453.0,90.8,1.2,0.0,0.0,0.0,194.0,304.0,13.0,0.0,0.0,0.0,16.6,116.0,27.4,0.0,0.0,0.0,0.0,11.0,4.0,0.0
200.0,50.0,15.0,0.45,0.75,3.0,0.0,0.0,7.6,0.4,0.0,0.0,0.0,0.0,32.6,10.4,0.0,0.0,0.0,0.0,455.0,89.2,0.8,0.0,0.0,0.0,198.0,305.0,8.0,0.0,0.0,0.0,12.6,128.4,19.0,0.0,0.0,0.0,0.0,12.2,2.8,0.0
200.0,50.0,20.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,33.0,10.0,0.0,0.0,0.0,0.0,447.2,97.4,0.4,0.0,0.0,0.0,192.8,310.0,8.2,0.0,0.0,0.0,14.0,129.2,16.8,0.0,0.0,0.0,0.0,12.4,2.6,0.0
200.0,50.0,30.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,34.2,8.8,0.0,0.0,0.0,0.0,440.6,104.2,0.2,0.0,0.0,0.0,191.0,317.0,3.0,0.0,0.0,0.0,11.0,141.8,7.2,0.0,0.0,0.0,0.0,13.6,1.4,0.0
200.0,50.0,50.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,33.2,9.8,0.0,0.0,0.0,0.0,439.2,105.8,0.0,0.0,0.0,0.0,200.8,310.2,0.0,0.0,0.0,0.0,11.4,147.2,1.4,0.0,0.0,0.0,0.0,15.0,0.0,0.0
200.0,50.0,75.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,33.0,10.0,0.0,0.0,0.0,0.0,434.0,111.0,0.0,0.0,0.0,0.0,197.2,313.8,0.0,0.0,0.0,0.0,10.8,149.2,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
200.0,50.0,100.0,0.45,0.75,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,33.2,9.8,0.0,0.0,0.0,0.0,438.8,106.2,0.0,0.0,0.0,0.0,206.8,304.2,0.0,0.0,0.0,0.0,11.6,148.4,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
