number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,50,1,0.45,0.75,3,1951,50,69,1931
200,50,1,0.45,0.75,3,1956,45,71,1929
200,50,1,0.45,0.75,3,1959,42,68,1932
200,50,1,0.45,0.75,3,1952,49,70,1930
200,50,1,0.45,0.75,3,1958,43,76,1924
200,50,2,0.45,0.75,3,1944,57,72,1928
200,50,2,0.45,0.75,3,1947,54,63,1937
200,50,2,0.45,0.75,3,1950,51,68,1932
200,50,2,0.45,0.75,3,1947,54,64,1936
200,50,2,0.45,0.75,3,1958,43,71,1929
200,50,5,0.45,0.75,3,1953,48,71,1929
200,50,5,0.45,0.75,3,1959,42,74,1926
200,50,5,0.45,0.75,3,1956,45,69,1931
200,50,5,0.45,0.75,3,1961,40,74,1926
200,50,5,0.45,0.75,3,1957,44,72,1928
200,50,10,0.45,0.75,3,1968,33,71,1929
200,50,10,0.45,0.75,3,1959,42,78,1922
200,50,10,0.45,0.75,3,1960,41,70,1930
200,50,10,0.45,0.75,3,1966,35,76,1924
200,50,10,0.45,0.75,3,1958,43,72,1928
200,50,15,0.45,0.75,3,1960,41,76,1924
200,50,15,0.45,0.75,3,1959,42,72,1928
200,50,15,0.45,0.75,3,1966,35,75,1925
200,50,15,0.45,0.75,3,1955,46,73,1927
200,50,15,0.45,0.75,3,1962,39,80,1920
200,50,20,0.45,0.75,3,1968,33,73,1927
200,50,20,0.45,0.75,3,1968,33,72,1928
200,50,20,0.45,0.75,3,1966,35,79,1921
200,50,20,0.45,0.75,3,1966,35,79,1921
200,50,20,0.45,0.75,3,1967,34,80,1920
200,50,30,0.45,0.75,3,1969,32,76,1924
200,50,30,0.45,0.75,3,1967,34,78,1922
200,50,30,0.45,0.75,3,1971,30,80,1920
200,50,30,0.45,0.75,3,1963,38,77,1923
200,50,30,0.45,0.75,3,1966,35,77,1923
200,50,50,0.45,0.75,3,1969,32,77,1923
200,50,50,0.45,0.75,3,1963,38,75,1925
200,50,50,0.45,0.75,3,1967,34,73,1927
200,50,50,0.45,0.75,3,1963,38,77,1923
200,50,50,0.45,0.75,3,1969,32,75,1925
200,50,75,0.45,0.75,3,1975,26,83,1917
200,50,75,0.45,0.75,3,1975,26,76,1924
200,50,75,0.45,0.75,3,1979,22,83,1917
200,50,75,0.45,0.75,3,1967,34,82,1918
200,50,75,0.45,0.75,3,1972,29,79,1921
200,50,100,0.45,0.75,3,1982,19,98,1902
200,50,100,0.45,0.75,3,1986,15,96,1904
200,50,100,0.45,0.75,3,1980,21,96,1904
200,50,100,0.45,0.75,3,1982,19,93,1907
200,50,100,0.45,0.75,3,1983,18,91,1909
