number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,50,10,0.1,0.75,3,1964,37,76,1924
200,50,10,0.1,0.75,3,1952,49,69,1931
200,50,10,0.1,0.75,3,1966,35,72,1928
200,50,10,0.1,0.75,3,1965,36,78,1922
200,50,10,0.1,0.75,3,1965,36,72,1928
200,50,10,0.2,0.75,3,1957,44,75,1925
200,50,10,0.2,0.75,3,1953,48,69,1931
200,50,10,0.2,0.75,3,1968,33,74,1926
200,50,10,0.2,0.75,3,1967,34,74,1926
200,50,10,0.2,0.75,3,1951,50,77,1923
200,50,10,0.3,0.75,3,1962,39,73,1927
200,50,10,0.3,0.75,3,1955,46,72,1928
200,50,10,0.3,0.75,3,1955,46,67,1933
200,50,10,0.3,0.75,3,1962,39,77,1923
200,50,10,0.3,0.75,3,1970,31,76,1924
200,50,10,0.4,0.75,3,1959,42,70,1930
200,50,10,0.4,0.75,3,1965,36,72,1928
200,50,10,0.4,0.75,3,1959,42,68,1932
200,50,10,0.4,0.75,3,1953,48,78,1922
200,50,10,0.4,0.75,3,1946,55,69,1931
200,50,10,0.5,0.75,3,1966,35,76,1924
200,50,10,0.5,0.75,3,1969,32,74,1926
200,50,10,0.5,0.75,3,1959,42,67,1933
200,50,10,0.5,0.75,3,1965,36,73,1927
200,50,10,0.5,0.75,3,1967,34,74,1926
200,50,10,0.6,0.75,3,1960,41,73,1927
200,50,10,0.6,0.75,3,1963,38,70,1930
200,50,10,0.6,0.75,3,1957,44,68,1932
200,50,10,0.6,0.75,3,1960,41,73,1927
200,50,10,0.6,0.75,3,1969,32,73,1927
200,50,10,0.7,0.75,3,1962,39,77,1923
200,50,10,0.7,0.75,3,1957,44,72,1928
200,50,10,0.7,0.75,3,1955,46,69,1931
200,50,10,0.7,0.75,3,1954,47,69,1931
200,50,10,0.7,0.75,3,1955,46,76,1924
200,50,10,0.8,0.75,3,1966,35,75,1925
200,50,10,0.8,0.75,3,1953,48,77,1923
200,50,10,0.8,0.75,3,1965,36,76,1924
200,50,10,0.8,0.75,3,1957,44,70,1930
200,50,10,0.8,0.75,3,1961,40,72,1928
200,50,10,0.9,0.75,3,1962,39,78,1922
200,50,10,0.9,0.75,3,1951,50,80,1920
200,50,10,0.9,0.75,3,1954,47,74,1926
200,50,10,0.9,0.75,3,1960,41,69,1931
200,50,10,0.9,0.75,3,1955,46,74,1926
200,50,10,1.0,0.75,3,1962,39,76,1924
200,50,10,1.0,0.75,3,1962,39,72,1928
200,50,10,1.0,0.75,3,1959,42,72,1928
200,50,10,1.0,0.75,3,1956,45,73,1927
200,50,10,1.0,0.75,3,1958,43,76,1924
