number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,50,10,0.45,0.1,3,42,366,7,641
200,50,10,0.45,0.1,3,46,362,5,643
200,50,10,0.45,0.1,3,41,367,4,644
200,50,10,0.45,0.1,3,63,345,6,642
200,50,10,0.45,0.1,3,32,376,3,645
200,50,10,0.45,0.2,3,26,382,5,643
200,50,10,0.45,0.2,3,41,367,6,642
200,50,10,0.45,0.2,3,37,371,4,644
200,50,10,0.45,0.2,3,43,365,8,640
200,50,10,0.45,0.2,3,32,376,5,643
200,50,10,0.45,0.3,3,227,181,8,640
200,50,10,0.45,0.3,3,196,212,5,643
200,50,10,0.45,0.3,3,164,244,7,641
200,50,10,0.45,0.3,3,206,202,6,642
200,50,10,0.45,0.3,3,165,243,6,642
200,50,10,0.45,0.4,3,311,97,15,633
200,50,10,0.45,0.4,3,328,80,7,641
200,50,10,0.45,0.4,3,326,82,10,638
200,50,10,0.45,0.4,3,301,107,11,637
200,50,10,0.45,0.4,3,314,94,10,638
200,50,10,0.45,0.5,3,371,37,9,639
200,50,10,0.45,0.5,3,380,28,11,637
200,50,10,0.45,0.5,3,371,37,9,639
200,50,10,0.45,0.5,3,384,24,10,638
200,50,10,0.45,0.5,3,383,25,9,639
200,50,10,0.45,0.6,3,371,37,14,634
200,50,10,0.45,0.6,3,383,25,9,639
200,50,10,0.45,0.6,3,381,27,10,638
200,50,10,0.45,0.6,3,388,20,12,636
200,50,10,0.45,0.6,3,386,22,11,637
200,50,10,0.45,0.7,3,389,19,10,638
200,50,10,0.45,0.7,3,391,17,9,639
200,50,10,0.45,0.7,3,389,19,10,638
200,50,10,0.45,0.7,3,390,18,10,638
200,50,10,0.45,0.7,3,385,23,8,640
200,50,10,0.45,0.8,3,392,16,13,635
200,50,10,0.45,0.8,3,388,20,9,639
200,50,10,0.45,0.8,3,391,17,7,641
200,50,10,0.45,0.8,3,388,20,8,640
200,50,10,0.45,0.8,3,393,15,11,637
200,50,10,0.45,0.9,3,390,18,8,640
200,50,10,0.45,0.9,3,393,15,8,640
200,50,10,0.45,0.9,3,395,13,10,638
200,50,10,0.45,0.9,3,394,14,10,638
200,50,10,0.45,0.9,3,390,18,8,640
200,50,10,0.45,1.0,3,392,16,9,639
200,50,10,0.45,1.0,3,395,13,10,638
200,50,10,0.45,1.0,3,394,14,9,639
200,50,10,0.45,1.0,3,389,19,8,640
200,50,10,0.45,1.0,3,391,17,7,641
