number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,1,10,0.45,0.75,3,380,28,19,629
200,1,10,0.45,0.75,3,373,35,28,620
200,1,10,0.45,0.75,3,385,23,32,616
200,1,10,0.45,0.75,3,369,39,27,621
200,1,10,0.45,0.75,3,352,56,13,635
200,2,10,0.45,0.75,3,387,21,17,631
200,2,10,0.45,0.75,3,383,25,12,636
200,2,10,0.45,0.75,3,394,14,18,630
200,2,10,0.45,0.75,3,381,27,16,632
200,2,10,0.45,0.75,3,381,27,11,637
200,5,10,0.45,0.75,3,396,12,13,635
200,5,10,0.45,0.75,3,392,16,10,638
200,5,10,0.45,0.75,3,390,18,9,639
200,5,10,0.45,0.75,3,394,14,11,637
200,5,10,0.45,0.75,3,393,15,13,635
200,10,10,0.45,0.75,3,393,15,9,639
200,10,10,0.45,0.75,3,392,16,9,639
200,10,10,0.45,0.75,3,390,18,9,639
200,10,10,0.45,0.75,3,391,17,10,638
200,10,10,0.45,0.75,3,390,18,9,639
200,15,10,0.45,0.75,3,393,15,12,636
200,15,10,0.45,0.75,3,394,14,10,638
200,15,10,0.45,0.75,3,394,14,10,638
200,15,10,0.45,0.75,3,394,14,11,637
200,15,10,0.45,0.75,3,393,15,11,637
200,25,10,0.45,0.75,3,390,18,9,639
200,25,10,0.45,0.75,3,390,18,9,639
200,25,10,0.45,0.75,3,396,12,11,637
200,25,10,0.45,0.75,3,392,16,10,638
200,25,10,0.45,0.75,3,392,16,11,637
200,50,10,0.45,0.75,3,393,15,9,639
200,50,10,0.45,0.75,3,394,14,9,639
200,50,10,0.45,0.75,3,389,19,8,640
200,50,10,0.45,0.75,3,393,15,10,638
200,50,10,0.45,0.75,3,391,17,10,638
200,100,10,0.45,0.75,3,395,13,11,637
200,100,10,0.45,0.75,3,390,18,8,640
200,100,10,0.45,0.75,3,389,19,10,638
200,100,10,0.45,0.75,3,389,19,8,640
200,100,10,0.45,0.75,3,389,19,8,640
200,200,10,0.45,0.75,3,393,15,11,637
200,200,10,0.45,0.75,3,390,18,11,637
200,200,10,0.45,0.75,3,390,18,10,638
200,200,10,0.45,0.75,3,390,18,11,637
200,200,10,0.45,0.75,3,394,14,9,639
200,500,10,0.45,0.75,3,390,18,9,639
200,500,10,0.45,0.75,3,392,16,11,637
200,500,10,0.45,0.75,3,395,13,8,640
200,500,10,0.45,0.75,3,392,16,12,636
200,500,10,0.45,0.75,3,399,9,12,636
