number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,50,1,0.45,0.75,3,393,15,10,638
200,50,1,0.45,0.75,3,394,14,12,636
200,50,1,0.45,0.75,3,392,16,9,639
200,50,1,0.45,0.75,3,395,13,11,637
200,50,1,0.45,0.75,3,390,18,10,638
200,50,2,0.45,0.75,3,392,16,9,639
200,50,2,0.45,0.75,3,390,18,8,640
200,50,2,0.45,0.75,3,392,16,11,637
200,50,2,0.45,0.75,3,394,14,10,638
200,50,2,0.45,0.75,3,394,14,11,637
200,50,5,0.45,0.75,3,391,17,8,640
200,50,5,0.45,0.75,3,392,16,9,639
200,50,5,0.45,0.75,3,391,17,8,640
200,50,5,0.45,0.75,3,395,13,11,637
200,50,5,0.45,0.75,3,393,15,9,639
200,50,10,0.45,0.75,3,393,15,9,639
200,50,10,0.45,0.75,3,392,16,12,636
200,50,10,0.45,0.75,3,391,17,8,640
200,50,10,0.45,0.75,3,395,13,10,638
200,50,10,0.45,0.75,3,390,18,8,640
200,50,15,0.45,0.75,3,401,7,15,633
200,50,15,0.45,0.75,3,392,16,11,637
200,50,15,0.45,0.75,3,394,14,12,636
200,50,15,0.45,0.75,3,387,21,8,640
200,50,15,0.45,0.75,3,394,14,12,636
200,50,20,0.45,0.75,3,389,19,8,640
200,50,20,0.45,0.75,3,395,13,11,637
200,50,20,0.45,0.75,3,396,12,11,637
200,50,20,0.45,0.75,3,394,14,10,638
200,50,20,0.45,0.75,3,390,18,9,639
200,50,30,0.45,0.75,3,388,20,9,639
200,50,30,0.45,0.75,3,394,14,10,638
200,50,30,0.45,0.75,3,393,15,8,640
200,50,30,0.45,0.75,3,394,14,9,639
200,50,30,0.45,0.75,3,393,15,10,638
200,50,50,0.45,0.75,3,381,27,10,638
200,50,50,0.45,0.75,3,393,15,12,636
200,50,50,0.45,0.75,3,374,34,7,641
200,50,50,0.45,0.75,3,394,14,14,634
200,50,50,0.45,0.75,3,390,18,11,637
200,50,75,0.45,0.75,3,383,25,14,634
200,50,75,0.45,0.75,3,379,29,17,631
200,50,75,0.45,0.75,3,374,34,10,638
200,50,75,0.45,0.75,3,393,15,12,636
200,50,75,0.45,0.75,3,383,25,15,633
200,50,100,0.45,0.75,3,375,33,19,629
200,50,100,0.45,0.75,3,392,16,14,634
200,50,100,0.45,0.75,3,384,24,20,628
200,50,100,0.45,0.75,3,387,21,34,614
200,50,100,0.45,0.75,3,386,22,19,629
