number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,negative:negative,negative:positive,positive:negative,positive:positive
200,50,10,0.45,0.75,0,392,16,9,639
200,50,10,0.45,0.75,0,390,18,9,639
200,50,10,0.45,0.75,0,390,18,7,641
200,50,10,0.45,0.75,0,385,23,7,641
200,50,10,0.45,0.75,0,387,21,7,641
200,50,10,0.45,0.75,1,392,16,13,635
200,50,10,0.45,0.75,1,400,8,16,632
200,50,10,0.45,0.75,1,398,10,14,634
200,50,10,0.45,0.75,1,396,12,16,632
200,50,10,0.45,0.75,1,396,12,15,633
200,50,10,0.45,0.75,2,382,26,9,639
200,50,10,0.45,0.75,2,387,21,12,636
200,50,10,0.45,0.75,2,383,25,11,637
200,50,10,0.45,0.75,2,390,18,11,637
200,50,10,0.45,0.75,2,388,20,13,635
200,50,10,0.45,0.75,3,393,15,10,638
200,50,10,0.45,0.75,3,389,19,10,638
200,50,10,0.45,0.75,3,390,18,8,640
200,50,10,0.45,0.75,3,390,18,10,638
200,50,10,0.45,0.75,3,393,15,8,640
