number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,50,10,0.45,0.1,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,404,141,0,0,0,0,278,233,0,0,0,0,41,115,4,0,0,0,2,12,1,0
200,50,10,0.45,0.1,3,0,0,7,1,0,0,0,0,30,13,0,0,0,0,408,137,0,0,0,0,246,264,1,0,0,0,44,115,1,0,0,0,3,12,0,0
200,50,10,0.45,0.1,3,0,0,6,2,0,0,0,0,33,10,0,0,0,0,415,130,0,0,0,0,252,259,0,0,0,0,50,109,1,0,0,0,2,13,0,0
200,50,10,0.45,0.1,3,0,0,6,2,0,0,0,0,31,12,0,0,0,0,422,123,0,0,0,0,270,240,1,0,0,0,49,108,3,0,0,0,5,9,1,0
200,50,10,0.45,0.1,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,413,132,0,0,0,0,281,230,0,0,0,0,44,115,1,0,0,0,3,12,0,0
200,50,10,0.45,0.2,3,0,0,7,1,0,0,0,0,36,7,0,0,0,0,445,99,1,0,0,0,235,275,1,0,0,0,26,124,10,0,0,0,1,13,1,0
200,50,10,0.45,0.2,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,458,87,0,0,0,0,229,281,1,0,0,0,29,123,8,0,0,0,3,11,1,0
200,50,10,0.45,0.2,3,0,0,8,0,0,0,0,0,35,8,0,0,0,0,449,96,0,0,0,0,244,262,5,0,0,0,24,120,16,0,0,0,1,12,2,0
200,50,10,0.45,0.2,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,461,84,0,0,0,0,222,289,0,0,0,0,24,123,13,0,0,0,1,13,1,0
200,50,10,0.45,0.2,3,0,0,6,2,0,0,0,0,32,11,0,0,0,0,445,99,1,0,0,0,235,276,0,0,0,0,27,123,10,0,0,0,2,12,1,0
200,50,10,0.45,0.3,3,0,0,8,0,0,0,0,0,34,8,1,0,0,0,465,80,0,0,0,0,232,274,5,0,0,0,23,115,22,0,0,0,1,12,2,0
200,50,10,0.45,0.3,3,0,0,7,1,0,0,0,0,35,8,0,0,0,0,448,96,1,0,0,0,213,296,2,0,0,0,19,127,14,0,0,0,1,13,1,0
200,50,10,0.45,0.3,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,464,81,0,0,0,0,213,292,6,0,0,0,18,121,21,0,0,0,0,13,2,0
200,50,10,0.45,0.3,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,453,90,2,0,0,0,202,305,4,0,0,0,17,128,15,0,0,0,1,12,2,0
200,50,10,0.45,0.3,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,447,98,0,0,0,0,214,297,0,0,0,0,22,122,16,0,0,0,1,12,2,0
200,50,10,0.45,0.4,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,454,91,0,0,0,0,206,295,10,0,0,0,15,123,22,0,0,0,1,11,3,0
200,50,10,0.45,0.4,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,444,100,1,0,0,0,198,309,4,0,0,0,16,129,15,0,0,0,2,12,1,0
200,50,10,0.45,0.4,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,457,86,2,0,0,0,190,318,3,0,0,0,16,120,24,0,0,0,0,13,2,0
200,50,10,0.45,0.4,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,461,84,0,0,0,0,202,301,8,0,0,0,16,122,22,0,0,0,0,13,2,0
200,50,10,0.45,0.4,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,459,86,0,0,0,0,207,300,4,0,0,0,19,122,19,0,0,0,0,13,2,0
200,50,10,0.45,0.5,3,0,0,7,1,0,0,0,0,32,10,1,0,0,0,456,89,0,0,0,0,204,294,13,0,0,0,18,119,23,0,0,0,0,12,3,0
200,50,10,0.45,0.5,3,0,0,7,1,0,0,0,0,35,8,0,0,0,0,467,78,0,0,0,0,199,301,11,0,0,0,16,120,24,0,0,0,0,13,2,0
200,50,10,0.45,0.5,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,454,89,2,0,0,0,197,307,7,0,0,0,17,122,21,0,0,0,0,13,2,0
200,50,10,0.45,0.5,3,0,0,8,0,0,0,0,0,34,8,1,0,0,0,462,83,0,0,0,0,210,291,10,0,0,0,19,119,22,0,0,0,0,12,3,0
200,50,10,0.45,0.5,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,469,76,0,0,0,0,232,267,12,0,0,0,22,114,24,0,0,0,1,11,3,0
200,50,10,0.45,0.6,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,465,80,0,0,0,0,206,287,18,0,0,0,15,119,26,0,0,0,0,12,3,0
200,50,10,0.45,0.6,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,457,87,1,0,0,0,206,296,9,0,0,0,19,116,25,0,0,0,0,12,3,0
200,50,10,0.45,0.6,3,0,0,8,0,0,0,0,0,32,11,0,0,0,0,451,92,2,0,0,0,195,307,9,0,0,0,17,114,29,0,0,0,0,13,2,0
200,50,10,0.45,0.6,3,0,0,8,0,0,0,0,0,34,8,1,0,0,0,466,79,0,0,0,0,193,300,18,0,0,0,16,114,30,0,0,0,0,12,3,0
200,50,10,0.45,0.6,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,461,83,1,0,0,0,185,319,7,0,0,0,15,124,21,0,0,0,0,13,2,0
200,50,10,0.45,0.7,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,452,92,1,0,0,0,190,305,16,0,0,0,17,116,27,0,0,0,0,12,3,0
200,50,10,0.45,0.7,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,466,78,1,0,0,0,214,286,11,0,0,0,18,118,24,0,0,0,0,12,3,0
200,50,10,0.45,0.7,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,462,82,1,0,0,0,207,292,12,0,0,0,20,114,26,0,0,0,1,11,3,0
200,50,10,0.45,0.7,3,0,0,8,0,0,0,0,0,36,7,0,0,0,0,457,87,1,0,0,0,193,304,14,0,0,0,15,120,25,0,0,0,0,12,3,0
200,50,10,0.45,0.7,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,449,95,1,0,0,0,190,305,16,0,0,0,13,119,28,0,0,0,0,12,3,0
200,50,10,0.45,0.8,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,456,88,1,0,0,0,203,292,16,0,0,0,17,113,30,0,0,0,0,11,4,0
200,50,10,0.45,0.8,3,0,0,8,0,0,0,0,0,31,12,0,0,0,0,453,91,1,0,0,0,187,303,21,0,0,0,14,114,32,0,0,0,0,11,4,0
200,50,10,0.45,0.8,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,452,92,1,0,0,0,196,301,14,0,0,0,14,114,32,0,0,0,0,12,3,0
200,50,10,0.45,0.8,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,454,90,1,0,0,0,189,306,16,0,0,0,15,116,29,0,0,0,0,11,4,0
200,50,10,0.45,0.8,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,443,102,0,0,0,0,185,308,18,0,0,0,19,109,32,0,0,0,0,11,4,0
200,50,10,0.45,0.9,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,449,95,1,0,0,0,189,309,13,0,0,0,14,119,27,0,0,0,0,12,3,0
200,50,10,0.45,0.9,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,451,93,1,0,0,0,188,306,17,0,0,0,17,116,27,0,0,0,0,11,4,0
200,50,10,0.45,0.9,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,447,97,1,0,0,0,189,313,9,0,0,0,15,118,27,0,0,0,0,12,3,0
