number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,1,10,0.45,0.75,3,0,0,7,1,0,0,0,0,35,8,0,0,0,0,434,111,0,0,0,0,230,281,0,0,0,0,15,145,0,0,0,0,0,15,0,0
200,1,10,0.45,0.75,3,0,0,8,0,0,0,0,0,36,7,0,0,0,0,473,72,0,0,0,0,266,245,0,0,0,0,18,142,0,0,0,0,0,15,0,0
200,1,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,450,95,0,0,0,0,212,299,0,0,0,0,11,149,0,0,0,0,0,15,0,0
200,1,10,0.45,0.75,3,0,0,7,1,0,0,0,0,35,8,0,0,0,0,449,96,0,0,0,0,229,282,0,0,0,0,17,143,0,0,0,0,0,15,0,0
200,1,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,453,92,0,0,0,0,233,278,0,0,0,0,18,142,0,0,0,0,0,15,0,0
200,2,10,0.45,0.75,3,0,0,7,1,0,0,0,0,35,8,0,0,0,0,440,105,0,0,0,0,210,301,0,0,0,0,17,142,1,0,0,0,0,15,0,0
200,2,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,458,87,0,0,0,0,220,291,0,0,0,0,14,146,0,0,0,0,0,15,0,0
200,2,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,445,100,0,0,0,0,205,306,0,0,0,0,11,149,0,0,0,0,0,15,0,0
200,2,10,0.45,0.75,3,0,0,7,1,0,0,0,0,35,8,0,0,0,0,459,86,0,0,0,0,244,267,0,0,0,0,15,144,1,0,0,0,0,15,0,0
200,2,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,464,81,0,0,0,0,245,266,0,0,0,0,12,148,0,0,0,0,0,15,0,0
200,5,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,449,96,0,0,0,0,189,319,3,0,0,0,13,137,10,0,0,0,0,14,1,0
200,5,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,445,99,1,0,0,0,207,295,9,0,0,0,17,134,9,0,0,0,0,13,2,0
200,5,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,448,97,0,0,0,0,212,290,9,0,0,0,16,127,17,0,0,0,0,13,2,0
200,5,10,0.45,0.75,3,0,0,8,0,0,0,0,0,32,11,0,0,0,0,465,80,0,0,0,0,218,289,4,0,0,0,17,135,8,0,0,0,0,14,1,0
200,5,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,418,127,0,0,0,0,185,318,8,0,0,0,9,137,14,0,0,0,0,13,2,0
200,10,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,11,1,0,0,0,438,106,1,0,0,0,174,322,15,0,0,0,13,123,24,0,0,0,0,11,4,0
200,10,10,0.45,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,453,91,1,0,0,0,193,304,14,0,0,0,11,120,29,0,0,0,0,11,4,0
200,10,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,445,99,1,0,0,0,203,293,15,0,0,0,16,117,27,0,0,0,0,12,3,0
200,10,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,452,91,2,0,0,0,198,296,17,0,0,0,14,115,31,0,0,0,0,12,3,0
200,10,10,0.45,0.75,3,0,0,8,0,0,0,0,0,35,8,0,0,0,0,455,89,1,0,0,0,194,306,11,0,0,0,15,119,26,0,0,0,0,12,3,0
200,15,10,0.45,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,462,81,2,0,0,0,192,303,16,0,0,0,14,118,28,0,0,0,0,11,4,0
200,15,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,449,94,2,0,0,0,192,310,9,0,0,0,16,120,24,0,0,0,0,13,2,0
200,15,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,8,1,0,0,0,458,86,1,0,0,0,202,290,19,0,0,0,19,117,24,0,0,0,0,11,4,0
200,15,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,446,99,0,0,0,0,184,315,12,0,0,0,15,120,25,0,0,0,0,11,4,0
200,15,10,0.45,0.75,3,0,0,8,0,0,0,0,0,32,11,0,0,0,0,452,93,0,0,0,0,194,303,14,0,0,0,13,122,25,0,0,0,0,11,4,0
200,25,10,0.45,0.75,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,457,87,1,0,0,0,180,319,12,0,0,0,13,122,25,0,0,0,0,13,2,0
200,25,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,458,87,0,0,0,0,202,293,16,0,0,0,19,114,27,0,0,0,0,12,3,0
200,25,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,462,82,1,0,0,0,210,285,16,0,0,0,19,116,25,0,0,0,0,11,4,0
200,25,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,458,86,1,0,0,0,197,296,18,0,0,0,15,120,25,0,0,0,0,11,4,0
200,25,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,10,1,0,0,0,454,89,2,0,0,0,193,299,19,0,0,0,12,121,27,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,451,93,1,0,0,0,187,311,13,0,0,0,14,120,26,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,460,84,1,0,0,0,197,299,15,0,0,0,15,115,30,0,0,0,0,12,3,0
200,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,33,9,1,0,0,0,465,80,0,0,0,0,183,319,9,0,0,0,14,123,23,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,8,0,0,0,0,0,32,11,0,0,0,0,461,84,0,0,0,0,199,303,9,0,0,0,19,117,24,0,0,0,0,11,4,0
200,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,452,91,2,0,0,0,197,299,15,0,0,0,16,114,30,0,0,0,0,11,4,0
200,100,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,453,92,0,0,0,0,175,322,14,0,0,0,12,121,27,0,0,0,0,11,4,0
200,100,10,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,455,89,1,0,0,0,190,303,18,0,0,0,18,115,27,0,0,0,0,11,4,0
200,100,10,0.45,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,457,87,1,0,0,0,191,308,12,0,0,0,19,117,24,0,0,0,0,13,2,0
200,100,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,8,1,0,0,0,445,100,0,0,0,0,184,315,12,0,0,0,15,118,27,0,0,0,0,11,4,0
200,100,10,0.45,0.75,3,0,0,8,0,0,0,0,0,36,7,0,0,0,0,462,82,1,0,0,0,208,285,18,0,0,0,18,117,25,0,0,0,0,11,4,0
200,200,10,0.45,0.75,3,0,0,8,0,0,0,0,0,32,10,1,0,0,0,455,88,2,0,0,0,178,322,11,0,0,0,13,118,29,0,0,0,0,13,2,0
200,200,10,0.45,0.75,3,0,0,7,1,0,0,0,0,34,9,0,0,0,0,457,86,2,0,0,0,197,295,19,0,0,0,16,109,35,0,0,0,0,12,3,0
200,200,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,10,1,0,0,0,457,86,2,0,0,0,196,294,21,0,0,0,14,117,29,0,0,0,0,11,4,0
200,200,10,0.45,0.75,3,0,0,8,0,0,0,0,0,31,12,0,0,0,0,445,98,2,0,0,0,182,314,15,0,0,0,8,124,28,0,0,0,0,12,3,0
200,200,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,459,85,1,0,0,0,198,302,11,0,0,0,17,121,22,0,0,0,0,13,2,0
200,500,10,0.45,0.75,3,0,0,7,1,0,0,0,0,31,12,0,0,0,0,444,100,1,0,0,0,186,313,12,0,0,0,13,123,24,0,0,0,0,11,4,0
200,500,10,0.45,0.75,3,0,0,7,1,0,0,0,0,32,11,0,0,0,0,448,96,1,0,0,0,182,314,15,0,0,0,13,123,24,0,0,0,0,11,4,0
200,500,10,0.45,0.75,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,453,90,2,0,0,0,193,302,16,0,0,0,17,117,26,0,0,0,0,11,4,0
