number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
200,50,1,0.45,0.75,3,0,0,7,1,0,0,0,0,31,11,1,0,0,0,455,88,2,0,0,0,188,305,18,0,0,0,17,112,31,0,0,0,1,10,4,0
200,50,1,0.45,0.75,3,0,0,8,0,0,0,0,0,32,10,1,0,0,0,451,90,4,0,0,0,186,304,21,0,0,0,17,114,29,0,0,0,0,12,3,0
200,50,1,0.45,0.75,3,0,0,7,1,0,0,0,0,33,10,0,0,0,0,461,80,4,0,0,0,196,292,23,0,0,0,19,108,33,0,0,0,0,11,4,0
200,50,1,0.45,0.75,3,0,0,8,0,0,0,0,0,34,9,0,0,0,0,458,86,1,0,0,0,179,312,20,0,0,0,19,109,32,0,0,0,0,10,5,0
200,50,1,0.45,0.75,3,0,0,8,0,0,0,0,0,33,9,1,0,0,0,462,81,2,0,0,0,194,295,22,0,0,0,20,108,32,0,0,0,0,11,4,0
200,50,2,0.45,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,459,85,1,0,0,0,196,292,23,0,0,0,17,110,33,0,0,0,0,11,4,0
200,50,2,0.45,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,452,89,4,0,0,0,187,306,18,0,0,0,14,114,32,0,0,0,0,11,4,0
200,50,2,0.45,0.75,3,0,0,7,1,0,0,0,0,32,10,1,0,0,0,455,88,2,0,0,0,197,291,23,0,0,0,19,109,32,0,0,0,1,10,4,0
200,50,2,0.45,0.75,3,0,0,8,0,0,0,0,0,35,8,0,0,0,1,447,93,4,0,0,0,184,305,22,0,0,0,20,109,31,0,0,0,0,11,4,0
200,50,2,0.45,0.75,3,0,0,8,0,0,0,0,0,33,9,1,0,0,1,451,90,3,0,0,0,192,300,19,0,0,0,23,106,31,0,0,0,0,11,4,0
200,50,5,0.45,0.75,3,0,0,8,0,0,0,0,0,33,10,0,0,0,0,468,75,2,0,0,0,207,282,22,0,0,0,16,114,30,0,0,0,0,11,4,0
200,50,5,0.45,0.75,3,0,0,7,1,0,0,0,0,33,9,1,0,0,0,457,87,1,0,0,0,201,288,22,0,0,0,15,110,35,0,0,0,0,11,4,0
200,50,5,0.45,0.75,3,0,0,8,0,0,0,0,0,34,8,1,0,0,0,447,97,1,0,0,0,193,296,22,0,0,0,16,112,32,0,0,0,0,11,4,0
