number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,3:3,3:4,3:5,3:6,3:7,3:8,4:3,4:4,4:5,4:6,4:7,4:8,5:3,5:4,5:5,5:6,5:7,5:8,6:3,6:4,6:5,6:6,6:7,6:8,7:3,7:4,7:5,7:6,7:7,7:8,8:3,8:4,8:5,8:6,8:7,8:8
1,50,10,0.45,0.75,3,3,1,2,2,0,0,6,2,24,10,1,0,28,19,298,194,6,0,4,12,177,273,45,0,0,1,35,88,36,0,0,0,2,8,5,0
1,50,10,0.45,0.75,3,0,1,3,4,0,0,0,4,15,22,2,0,0,44,324,150,27,0,0,34,171,251,55,0,0,2,29,90,39,0,0,0,0,11,4,0
1,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,35,8,0,0,0,0,382,147,16,0,0,0,218,248,45,0,0,0,21,107,32,0,0,0,1,11,3,0
1,50,10,0.45,0.75,3,0,0,4,3,1,0,0,0,29,11,3,0,0,21,333,167,24,0,0,18,182,252,56,3,0,2,24,106,26,2,0,0,0,10,5,0
1,50,10,0.45,0.75,3,1,0,6,1,0,0,2,2,23,10,6,0,15,35,299,151,45,0,8,26,173,205,99,0,1,2,30,59,68,0,0,0,2,6,7,0
2,50,10,0.45,0.75,3,0,4,3,1,0,0,0,2,27,10,4,0,0,24,372,121,28,0,0,17,222,190,82,0,0,0,30,48,82,0,0,0,2,5,8,0
2,50,10,0.45,0.75,3,0,0,4,4,0,0,0,0,25,17,1,0,0,3,338,188,16,0,0,5,253,206,47,0,0,0,47,79,34,0,0,0,4,4,7,0
2,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,25,11,7,0,0,3,302,204,36,0,0,0,163,255,93,0,0,1,13,83,63,0,0,0,1,7,7,0
2,50,10,0.45,0.75,3,0,0,7,1,0,0,0,3,26,12,2,0,2,3,298,209,33,0,0,6,206,251,48,0,0,3,41,84,32,0,0,0,3,11,1,0
2,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,19,22,2,0,0,0,353,183,9,0,0,0,237,218,56,0,0,0,45,73,42,0,0,0,5,8,2,0
5,50,10,0.45,0.75,3,0,0,4,4,0,0,0,0,25,17,1,0,0,4,345,185,11,0,0,4,216,274,17,0,0,0,42,98,20,0,0,0,1,11,3,0
5,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,34,8,1,0,0,1,398,141,5,0,0,0,189,284,38,0,0,0,28,97,35,0,0,0,1,12,2,0
5,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,25,16,2,0,0,0,372,166,7,0,0,0,194,269,48,0,0,0,35,81,41,3,0,0,0,9,6,0
5,50,10,0.45,0.75,3,0,1,6,1,0,0,0,0,27,15,1,0,0,1,403,132,9,0,0,0,190,289,32,0,0,0,23,108,29,0,0,0,2,9,4,0
5,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,30,12,1,0,0,0,371,165,9,0,0,2,211,267,31,0,0,0,24,106,30,0,0,0,1,9,5,0
10,50,10,0.45,0.75,3,0,0,7,1,0,0,0,1,32,10,0,0,0,0,396,146,3,0,0,0,214,268,29,0,0,0,25,103,32,0,0,0,0,10,5,0
10,50,10,0.45,0.75,3,0,0,7,1,0,0,0,0,28,15,0,0,0,1,379,161,4,0,0,1,221,272,17,0,0,0,33,95,32,0,0,0,2,9,4,0
10,50,10,0.45,0.75,3,0,0,6,2,0,0,0,0,35,8,0,0,0,0,403,140,2,0,0,1,172,315,23,0,0,0,16,109,35,0,0,0,0,9,6,0
